stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10005,SATURDAY,1,1,32,40TH AVE NE & NE 51ST ST,47.665886,-122.284897
10020,SATURDAY,0,1,31,NE 55TH ST & 37TH AVE NE,47.668583,-122.2883
10020,SATURDAY,1,1,37,NE 55TH ST & 37TH AVE NE,47.668583,-122.2883
10040,SATURDAY,1,2,39,NE 55TH ST & 33RD AVE NE,47.66859,-122.293007
10070,SATURDAY,1,1,37,NE 55TH ST & 25TH AVE NE,47.668594,-122.300987
10083,SATURDAY,1,1,37,RAVENNA AVE NE & RAVENNA PL NE,47.668476,-122.303787
10100,SATURDAY,1,1,37,NE RAVENNA BLVD & PARK RD NE,47.669567,-122.305412
10130,SATURDAY,1,1,37,NE 50TH ST & 19TH AVE NE,47.664932,-122.307106
1020,SATURDAY,0,1,34,HOWELL ST & YALE AVE,47.61763,-122.329414
10220,SATURDAY,1,5,87,FAIRVIEW AVE N & HARRISON ST,47.621777,-122.334427
1030,SATURDAY,0,4,37,OLIVE WAY & 4TH AVE,47.612091,-122.33857
10305,SATURDAY,0,5,83,FAIRVIEW AVE N & HARRISON ST,47.62228,-122.334236
10325,SATURDAY,0,5,83,FAIRVIEW AVE N & VALLEY ST,47.626553,-122.333542
10340,SATURDAY,0,5,83,FAIRVIEW AVE N & YALE AVE N,47.62888,-122.330589
10350,SATURDAY,0,5,83,FAIRVIEW AVE E & YALE AVE N,47.63047,-122.328545
10380,SATURDAY,0,1,36,NE 50TH ST & 16TH AVE NE,47.664818,-122.310425
1040,SATURDAY,0,5,39,OLIVE WAY & 6TH AVE,47.61303,-122.336327
10400,SATURDAY,0,1,36,20TH AVE NE & NE 50TH ST,47.66502,-122.306412
10420,SATURDAY,0,1,36,20TH AVE NE & NE 54TH ST,47.668171,-122.306381
10490,SATURDAY,0,1,36,NE 55TH ST & 33RD AVE NE,47.668446,-122.292328
1050,SATURDAY,0,3,35,OLIVE WAY & 8TH AVE,47.613934,-122.334167
1050,SATURDAY,1,1,1,OLIVE WAY & 8TH AVE,47.613934,-122.334167
10500,SATURDAY,0,1,36,NE 55TH ST & 35TH AVE NE,47.668442,-122.290398
10515,SATURDAY,0,1,31,40TH AVE NE & NE 50TH ST,47.665089,-122.284691
10560,SATURDAY,0,1,36,NE 55TH ST & PRINCETON AVE NE,47.669182,-122.275909
10562,SATURDAY,0,1,34,SAND PT WAY NE & 40TH AVE NE,47.663448,-122.284119
10564,SATURDAY,0,1,34,SAND PT WAY NE & NE 50TH ST,47.664658,-122.28286
10566,SATURDAY,0,1,34,SAND PT WAY NE & NE 52ND ST,47.666653,-122.2808
10568,SATURDAY,0,1,34,SAND PT WAY NE & PRINCETON AVE NE,47.668201,-122.275978
10580,SATURDAY,0,2,70,SAND PT WAY NE & NE WINDERMERE RD,47.670029,-122.270813
10620,SATURDAY,0,1,34,SAND PT WAY NE & NE 65TH ST,47.675972,-122.263451
10630,SATURDAY,0,1,34,SAND PT WAY NE & NE 70TH ST,47.679432,-122.263519
