route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
100254,10005,SATURDAY,1,33.7,9.2,40TH AVE NE & NE 51ST ST,47.665886,-122.284897,65,""
100174,10010,SATURDAY,1,29.8,2.3,NE 55TH ST & 39TH AVE NE,47.668583,-122.28566,30,""
100254,10010,SATURDAY,0,33.8,9.3,NE 55TH ST & 39TH AVE NE,47.668583,-122.28566,65,""
100174,10020,SATURDAY,1,29.8,2.3,NE 55TH ST & 37TH AVE NE,47.668583,-122.2883,30,""
100254,10020,SATURDAY,0,33.8,9.3,NE 55TH ST & 37TH AVE NE,47.668583,-122.2883,65,""
100174,10030,SATURDAY,1,29.7,2.2,NE 55TH ST & 35TH AVE NE,47.668583,-122.290512,30,""
100278,10030,SATURDAY,1,68.0,,NE 55TH ST & 35TH AVE NE,47.668583,-122.290512,83,""
100174,10040,SATURDAY,1,29.7,2.2,NE 55TH ST & 33RD AVE NE,47.66859,-122.293007,30,""
100278,10040,SATURDAY,1,68.0,,NE 55TH ST & 33RD AVE NE,47.66859,-122.293007,83,""
100174,10050,SATURDAY,1,29.7,2.2,NE 55TH ST & 30TH AVE NE,47.66859,-122.295441,30,""
100278,10050,SATURDAY,1,68.0,,NE 55TH ST & 30TH AVE NE,47.66859,-122.295441,83,""
100174,10060,SATURDAY,1,29.7,2.2,NE 55TH ST & 27TH AVE NE,47.66859,-122.298859,30,""
100278,10060,SATURDAY,1,68.0,,NE 55TH ST & 27TH AVE NE,47.66859,-122.298859,83,""
100174,10070,SATURDAY,1,29.7,2.2,NE 55TH ST & 25TH AVE NE,47.668594,-122.300987,30,""
100174,10083,SATURDAY,1,29.7,2.2,RAVENNA AVE NE & RAVENNA PL NE,47.668476,-122.303787,30,""
100174,10100,SATURDAY,1,29.7,2.2,NE RAVENNA BLVD & PARK RD NE,47.669567,-122.305412,30,""
100174,10110,SATURDAY,1,29.7,2.2,20TH AVE NE & NE 55TH ST,47.668274,-122.306587,30,""
100174,10120,SATURDAY,1,29.7,2.2,20TH AVE NE & NE 52ND ST,47.666283,-122.306602,30,""
100174,10130,SATURDAY,1,29.7,2.2,NE 50TH ST & 19TH AVE NE,47.664932,-122.307106,30,""
100174,10145,SATURDAY,1,29.7,2.2,NE 50TH ST & 16TH AVE NE,47.664955,-122.311165,30,""
100264,10170,SATURDAY,1,14.9,0.7,FAIRVIEW AVE E & E NELSON PL,47.630604,-122.328636,70,""
100265,10170,SATURDAY,1,31.5,6.5,FAIRVIEW AVE E & E NELSON PL,47.630604,-122.328636,71,""
100266,10170,SATURDAY,1,44.1,14.7,FAIRVIEW AVE E & E NELSON PL,47.630604,-122.328636,72,""
100267,10170,SATURDAY,1,45.3,15.7,FAIRVIEW AVE E & E NELSON PL,47.630604,-122.328636,73,""
100278,10170,SATURDAY,1,67.0,,FAIRVIEW AVE E & E NELSON PL,47.630604,-122.328636,83,""
100264,10180,SATURDAY,1,14.9,0.7,FAIRVIEW AVE N & YALE AVE N,47.628349,-122.33152,70,""
100265,10180,SATURDAY,1,31.5,6.5,FAIRVIEW AVE N & YALE AVE N,47.628349,-122.33152,71,""
100266,10180,SATURDAY,1,44.1,14.7,FAIRVIEW AVE N & YALE AVE N,47.628349,-122.33152,72,""
100267,10180,SATURDAY,1,45.3,15.7,FAIRVIEW AVE N & YALE AVE N,47.628349,-122.33152,73,""
100278,10180,SATURDAY,1,67.0,,FAIRVIEW AVE N & YALE AVE N,47.628349,-122.33152,83,""
100264,10190,SATURDAY,1,14.9,0.7,FAIRVIEW AVE N & MINOR AVE N,47.627224,-122.332939,70,""
100265,10190,SATURDAY,1,31.5,6.5,FAIRVIEW AVE N & MINOR AVE N,47.627224,-122.332939,71,""
100266,10190,SATURDAY,1,44.1,14.7,FAIRVIEW AVE N & MINOR AVE N,47.627224,-122.332939,72,""
100267,10190,SATURDAY,1,45.3,15.7,FAIRVIEW AVE N & MINOR AVE N,47.627224,-122.332939,73,""
100278,10190,SATURDAY,1,67.0,,FAIRVIEW AVE N & MINOR AVE N,47.627224,-122.332939,83,""
100256,1020,SATURDAY,0,32.5,8.6,HOWELL ST & YALE AVE,47.61763,-122.329414,66,""
100264,10210,SATURDAY,1,14.9,0.7,FAIRVIEW AVE N & MERCER ST,47.623993,-122.334427,70,""
100265,10210,SATURDAY,1,31.5,6.5,FAIRVIEW AVE N & MERCER ST,47.623993,-122.334427,71,""
100266,10210,SATURDAY,1,44.1,14.7,FAIRVIEW AVE N & MERCER ST,47.623993,-122.334427,72,""
100267,10210,SATURDAY,1,45.3,15.7,FAIRVIEW AVE N & MERCER ST,47.623993,-122.334427,73,""
100278,10210,SATURDAY,1,67.0,,FAIRVIEW AVE N & MERCER ST,47.623993,-122.334427,83,""
100264,10220,SATURDAY,1,14.9,0.7,FAIRVIEW AVE N & HARRISON ST,47.621777,-122.334427,70,""
100265,10220,SATURDAY,1,31.5,6.5,FAIRVIEW AVE N & HARRISON ST,47.621777,-122.334427,71,""
100266,10220,SATURDAY,1,44.1,14.7,FAIRVIEW AVE N & HARRISON ST,47.621777,-122.334427,72,""
100267,10220,SATURDAY,1,45.3,15.7,FAIRVIEW AVE N & HARRISON ST,47.621777,-122.334427,73,""
100278,10220,SATURDAY,1,67.0,,FAIRVIEW AVE N & HARRISON ST,47.621777,-122.334427,83,""
100264,10230,SATURDAY,1,14.9,0.7,FAIRVIEW AVE N & JOHN ST,47.61977,-122.334404,70,""
100265,10230,SATURDAY,1,31.5,6.5,FAIRVIEW AVE N & JOHN ST,47.61977,-122.334404,71,""
100266,10230,SATURDAY,1,44.1,14.7,FAIRVIEW AVE N & JOHN ST,47.61977,-122.334404,72,""
100267,10230,SATURDAY,1,45.3,15.7,FAIRVIEW AVE N & JOHN ST,47.61977,-122.334404,73,""
100278,10230,SATURDAY,1,67.0,,FAIRVIEW AVE N & JOHN ST,47.61977,-122.334404,83,""
100264,10240,SATURDAY,1,14.9,0.6,BOREN AVE & VIRGINIA ST,47.617504,-122.333817,70,""
100265,10240,SATURDAY,1,31.5,6.5,BOREN AVE & VIRGINIA ST,47.617504,-122.333817,71,""
100266,10240,SATURDAY,1,44.1,14.7,BOREN AVE & VIRGINIA ST,47.617504,-122.333817,72,""
100267,10240,SATURDAY,1,45.3,15.7,BOREN AVE & VIRGINIA ST,47.617504,-122.333817,73,""
100278,10240,SATURDAY,1,67.0,,BOREN AVE & VIRGINIA ST,47.617504,-122.333817,83,""
100264,10280,SATURDAY,0,14.9,0.7,FAIRVIEW AVE & DENNY WAY,47.618424,-122.334198,70,""
100265,10280,SATURDAY,0,30.1,0.7,FAIRVIEW AVE & DENNY WAY,47.618424,-122.334198,71,""
100266,10280,SATURDAY,0,48.5,14.7,FAIRVIEW AVE & DENNY WAY,47.618424,-122.334198,72,""
100267,10280,SATURDAY,0,46.3,15.6,FAIRVIEW AVE & DENNY WAY,47.618424,-122.334198,73,""
100278,10280,SATURDAY,0,75.0,,FAIRVIEW AVE & DENNY WAY,47.618424,-122.334198,83,""
100221,1030,SATURDAY,0,,,OLIVE WAY & 4TH AVE,47.612091,-122.33857,41,""
100256,1030,SATURDAY,0,32.5,8.6,OLIVE WAY & 4TH AVE,47.612091,-122.33857,66,""
100265,1030,SATURDAY,0,,,OLIVE WAY & 4TH AVE,47.612091,-122.33857,71,""
100266,1030,SATURDAY,0,,,OLIVE WAY & 4TH AVE,47.612091,-122.33857,72,""
100264,10305,SATURDAY,0,14.9,0.7,FAIRVIEW AVE N & HARRISON ST,47.62228,-122.334236,70,""
100265,10305,SATURDAY,0,30.1,0.7,FAIRVIEW AVE N & HARRISON ST,47.62228,-122.334236,71,""
100266,10305,SATURDAY,0,48.5,14.7,FAIRVIEW AVE N & HARRISON ST,47.62228,-122.334236,72,""
100267,10305,SATURDAY,0,46.2,15.5,FAIRVIEW AVE N & HARRISON ST,47.62228,-122.334236,73,""
100278,10305,SATURDAY,0,74.0,,FAIRVIEW AVE N & HARRISON ST,47.62228,-122.334236,83,""
100264,10325,SATURDAY,0,14.9,0.7,FAIRVIEW AVE N & VALLEY ST,47.626553,-122.333542,70,""
100265,10325,SATURDAY,0,30.1,0.7,FAIRVIEW AVE N & VALLEY ST,47.626553,-122.333542,71,""
100266,10325,SATURDAY,0,48.5,14.7,FAIRVIEW AVE N & VALLEY ST,47.626553,-122.333542,72,""
100267,10325,SATURDAY,0,46.2,15.5,FAIRVIEW AVE N & VALLEY ST,47.626553,-122.333542,73,""
100278,10325,SATURDAY,0,74.0,,FAIRVIEW AVE N & VALLEY ST,47.626553,-122.333542,83,""
100264,10340,SATURDAY,0,14.9,0.7,FAIRVIEW AVE N & YALE AVE N,47.62888,-122.330589,70,""
100265,10340,SATURDAY,0,30.1,0.7,FAIRVIEW AVE N & YALE AVE N,47.62888,-122.330589,71,""
100266,10340,SATURDAY,0,48.5,14.7,FAIRVIEW AVE N & YALE AVE N,47.62888,-122.330589,72,""
100267,10340,SATURDAY,0,46.2,15.5,FAIRVIEW AVE N & YALE AVE N,47.62888,-122.330589,73,""
100278,10340,SATURDAY,0,74.0,,FAIRVIEW AVE N & YALE AVE N,47.62888,-122.330589,83,""
100264,10350,SATURDAY,0,14.9,0.7,FAIRVIEW AVE E & YALE AVE N,47.63047,-122.328545,70,""
100265,10350,SATURDAY,0,30.1,0.7,FAIRVIEW AVE E & YALE AVE N,47.63047,-122.328545,71,""
100266,10350,SATURDAY,0,48.5,14.7,FAIRVIEW AVE E & YALE AVE N,47.63047,-122.328545,72,""
100267,10350,SATURDAY,0,46.2,15.5,FAIRVIEW AVE E & YALE AVE N,47.63047,-122.328545,73,""
100278,10350,SATURDAY,0,74.0,,FAIRVIEW AVE E & YALE AVE N,47.63047,-122.328545,83,""
100174,10370,SATURDAY,0,29.9,2.5,NE 50TH ST & UNIVERSITY WAY NE,47.664833,-122.312653,30,""
