route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
100340,SATURDAY,1,144,19,20162,84704,18,15.0,0.0,71,12.3,2.0,7.0,1581.0592166666666665573,98,""
100340,SATURDAY,0,144,19,20162,84704,18,14.9,0.3,71,11.2,1.9,6.8,1578.4380278301886791029,98,""
100479,SATURDAY,1,225,22,15783,90898,21,11.0,2.3,109,36.5,22.3,12.6,9971.3824366306027819215,LINK,""
100479,SATURDAY,0,225,22,15783,90898,21,10.9,2.2,113,37.6,22.9,12.7,10075.3199618071374336107,LINK,""
100340,SUNDAY,0,80,11,34562,70304,10,14.9,0.4,39,11.3,1.9,6.7,1581.2015818965517241945,98,""
100340,SUNDAY,1,80,11,34562,70304,10,15.0,0.0,39,12.3,2.0,7.0,1581.0592166666666665573,98,""
100479,SUNDAY,0,207,20,20103,87298,19,10.6,2.5,104,37.7,22.9,12.6,10097.9706996683250413734,LINK,""
100479,SUNDAY,1,207,20,20103,87298,19,10.6,1.8,100,36.5,22.3,12.5,9970.8209545531197302364,LINK,""
100340,WEEKDAY,1,141,17,20162,77804,16,13.7,2.1,69,12.3,2.0,7.0,1581.0592166666666665573,98,""
100340,WEEKDAY,0,141,17,20162,77804,16,13.9,2.0,69,11.2,1.9,6.7,1580.2661087591240876104,98,""
100479,WEEKDAY,1,262,22,15903,90898,21,9.4,2.5,127,36.3,22.0,12.4,9916.7613400403768505743,LINK,""
100479,WEEKDAY,0,262,22,15903,90898,21,9.3,2.6,132,37.8,22.8,12.5,10126.6245810367454067742,LINK,""
