stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1108,SATURDAY,0,1,107,WESTLAKE STATION,47.611397,-122.337502
1121,SATURDAY,1,1,109,WESTLAKE STATION,47.611801,-122.335823
1619,SATURDAY,1,1,71,WESTLAKE AVE & VIRGINIA ST,47.614868,-122.33786
1630,SATURDAY,1,1,71,WESTLAKE AVE & OLIVE WAY,47.613277,-122.33754
26641,SATURDAY,1,1,71,WESTLAKE AVE N & MERCER ST,47.624348,-122.338539
26645,SATURDAY,1,1,71,WESTLAKE AVE N & HARRISON ST,47.621384,-122.33857
26665,SATURDAY,1,1,71,WESTLAKE AVE & 9TH AVE,47.617603,-122.338417
26680,SATURDAY,0,1,71,WESTLAKE AVE & OLIVE WAY,47.6133,-122.337341
26689,SATURDAY,0,1,71,WESTLAKE AVE & 7TH AVE,47.61562,-122.337799
26690,SATURDAY,0,1,71,WESTLAKE AVE & 9TH AVE,47.618267,-122.338333
26693,SATURDAY,0,1,71,TERRY AVE N & THOMAS ST,47.621506,-122.337051
26698,SATURDAY,0,1,71,TERRY AVE N & REPUBLICAN ST,47.623421,-122.337036
26700,SATURDAY,1,1,71,FAIRVIEW AVE N & WARD ST,47.627674,-122.332382
26701,SATURDAY,0,1,71,SLU STREETCAR & TERRY AVE N,47.625835,-122.336365
26702,SATURDAY,1,1,71,SLU STREETCAR & TERRY AVE N,47.625973,-122.336533
26705,SATURDAY,0,1,71,FAIRVIEW AVE N & ALOHA ST,47.627586,-122.332214
455,SATURDAY,0,1,107,UNIVERSITY STREET,47.60725,-122.335754
501,SATURDAY,0,1,107,PIONEER SQUARE,47.602146,-122.33107
532,SATURDAY,1,1,109,PIONEER SQUARE,47.603195,-122.331573
55578,SATURDAY,1,1,108,ST LIGHT RAIL & S HENDERSON ST,47.522949,-122.279076
55656,SATURDAY,1,1,108,ST LIGHT RAIL & S MYRTLE ST,47.538486,-122.28167
55778,SATURDAY,1,1,108,ST LIGHT RAIL & S ALASKA ST,47.560276,-122.292885
55860,SATURDAY,1,1,108,ST LIGHT RAIL & S STEVENS ST,47.576992,-122.297859
55949,SATURDAY,0,1,113,ST LIGHT RAIL & S STEVENS ST,47.576439,-122.297737
56039,SATURDAY,0,1,113,ST LIGHT RAIL & S EDMUNDS ST,47.558952,-122.292343
56159,SATURDAY,0,1,113,ST LIGHT RAIL & S OTHELLO ST,47.537537,-122.281471
56173,SATURDAY,0,1,113,ST LIGHT RAIL & S HENDERSON ST,47.522263,-122.279579
565,SATURDAY,1,1,109,UNIVERSITY STREET,47.60825,-122.336166
621,SATURDAY,1,1,109,INT'L DISTRICT,47.598454,-122.32782
623,SATURDAY,0,1,107,INT'L DISTRICT,47.59766,-122.328217
99101,SATURDAY,0,1,108,ST LIGHT RAIL & S ROYAL BROUGHAM WAY,47.591812,-122.327354
