route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
4361,1,0,113,15,20880,70080,14,14.6,5.4,57,14.2,1.8,10.2,1046.5508817142857141451,1,Plaza Arena Shuttle
4361,1,1,113,15,20880,70080,14,14.7,5.6,56,11.7,1.4,7.0,1206.1502833333333334427,1,Plaza Arena Shuttle
4362,1,0,31,8,19200,67920,14,23.5,7.2,15,33.2,13.3,10.0,7776.4439222222222220764,124,North Express
4362,1,1,31,8,19200,67920,14,24.0,7.3,16,31.6,13.2,9.0,8516.6839460937500000000,124,North Express
4363,1,0,12,8,20160,66300,13,30.0,0.0,6,48.2,28.1,33.0,4640.1952625000000000000,165,Cheney Express
4363,1,1,12,8,20160,66300,13,30.0,0.0,6,44.2,28.8,36.0,4337.5663685714285713817,165,Cheney Express
4364,1,0,26,9,19500,67560,13,32.9,7.0,13,36.7,14.7,20.0,4078.8528578947368421398,173,VTC Express
4364,1,1,26,9,19500,67560,13,32.7,6.8,13,45.0,15.0,18.0,4657.4225538461538462934,173,VTC Express
4365,1,0,49,13,18600,68220,14,16.1,13.9,35,51.3,25.9,17.8,7945.0483232558139534197,174,Liberty Lake Express
4365,1,1,49,13,18600,68220,14,20.9,11.6,24,51.1,25.6,14.9,9690.2222979041916168981,174,Liberty Lake Express
4366,1,0,81,18,21600,83700,17,24.8,13.0,41,15.3,4.6,26.0,971.4909760000000000000,2,Southside Medical Shuttle
4366,1,1,81,18,21600,83700,17,25.2,14.3,40,14.0,3.7,24.0,850.7205043478260868424,2,Southside Medical Shuttle
4367,1,0,108,19,21480,82800,17,18.4,12.2,53,36.9,6.1,14.0,2495.8862242380261247181,20,SFCC
4367,1,1,108,19,21480,82800,17,18.1,9.3,55,26.0,6.1,14.5,2383.2244037837837839434,20,SFCC
4368,1,0,59,19,20640,83880,18,35.3,11.7,29,20.8,4.5,25.0,987.7040375000000000000,21,West Broadway
4368,1,1,59,19,20640,83880,18,34.7,10.6,30,18.1,4.7,24.0,997.2409297101449274126,21,West Broadway
4369,1,0,61,19,20400,85800,18,35.1,12.1,30,24.9,12.5,48.0,1399.4861170212765957377,22,NW Blvd
4369,1,1,61,19,20400,85800,18,33.5,9.3,31,20.4,12.2,52.0,1258.3476494630448513995,22,NW Blvd
4370,1,0,49,19,18780,82800,18,43.0,15.2,24,26.3,11.4,49.7,1237.2398183219178082012,23,Maple Ash
4370,1,1,49,19,18780,82800,18,43.1,14.2,25,24.0,10.8,46.4,1256.5427079225352112445,23,Maple Ash
4371,1,0,113,19,20940,85260,18,18.1,7.8,57,24.1,7.6,24.0,1740.6560913043478259871,24,Monroe
4371,1,1,113,19,20940,85260,18,18.0,7.7,56,18.7,7.2,23.0,1720.6160545454545455142,24,Monroe
4372,1,0,115,19,20100,85440,18,18.4,8.5,56,24.6,13.4,31.9,2283.4375531791907514925,25,Division
4372,1,1,115,19,20100,85440,18,17.3,7.2,59,21.4,13.9,34.0,2214.9496805341551104600,25,Division
4373,1,0,58,19,20040,83640,18,33.0,9.7,28,25.0,13.8,46.0,1599.7062333333333334427,26,Lidgerwood
4373,1,1,58,19,20040,83640,18,34.8,12.0,31,20.6,13.4,45.0,1609.5549502272727272429,26,Lidgerwood
4374,1,0,63,20,18060,86460,19,34.0,9.5,31,22.2,15.2,73.0,1112.5916569444444444809,27,Hillyard
4374,1,1,63,20,18060,86460,19,34.0,9.6,32,20.1,14.7,69.0,1137.6992648437499999421,27,Hillyard
4375,1,0,56,19,21480,83400,17,35.8,12.5,28,26.1,12.8,45.9,1498.6971621621621621100,28,Nevada
4375,1,1,56,19,21480,83400,17,34.7,10.8,28,21.5,14.0,52.0,1448.3170333333333334234,28,Nevada
4376,1,0,59,19,21420,83700,17,34.8,10.8,29,22.0,6.2,27.0,1259.4749461538461537452,29,SCC
4376,1,1,59,19,21420,83700,17,35.1,10.7,30,20.5,6.1,26.0,1294.6143552000000000000,29,SCC
4377,1,0,61,19,19740,83640,18,34.7,10.9,31,30.2,11.1,42.0,1423.7299317073170730667,32,Trent Montgomery
4377,1,1,61,19,19740,83640,18,33.8,10.4,30,30.8,11.3,44.0,1382.9186093023255814335,32,Trent Montgomery
4378,1,0,120,19,19020,84540,18,18.6,11.7,56,19.7,19.1,54.4,1883.2507858302122346079,33,Wellesley
4378,1,1,120,19,19020,84540,18,18.0,9.3,55,19.6,19.0,57.3,1780.0470059259259260839,33,Wellesley
4379,1,0,58,18,21540,80940,17,14.4,9.0,86,20.3,10.3,44.2,709.3323004437869824116,39,Mission
4379,1,1,58,18,21540,80940,17,34.4,10.8,28,19.9,6.0,25.0,1308.3124208333333334427,39,Mission
4380,1,0,60,17,21900,82500,17,34.1,10.5,30,17.0,3.1,14.0,1248.9505076923076921815,42,South Adams
4380,1,1,60,17,21900,82500,17,34.1,10.5,30,16.3,2.4,11.0,1274.6291280000000000000,42,South Adams
4381,1,0,60,19,20940,85380,18,35.1,12.2,30,26.0,10.0,34.0,1595.9380545454545455142,43,Lincoln 37th
4381,1,1,60,19,20940,85380,18,34.6,10.7,30,23.1,10.0,34.1,1593.5248116935483869486,43,Lincoln 37th
4382,1,0,109,19,20940,83700,17,19.1,12.2,53,25.6,7.7,25.9,1613.0864993181818182713,44,29th Avenue
4382,1,1,109,19,20940,83700,17,18.6,9.9,56,20.9,8.0,27.9,1561.4405192307692306178,44,29th Avenue
4383,1,0,72,19,19080,85440,18,29.5,14.3,36,25.1,10.0,40.0,1345.8914384615384615637,45,Regal
4383,1,1,72,19,19080,85440,18,30.0,13.1,36,22.7,10.5,40.0,1412.3022435897435896847,45,Regal
4384,1,0,59,18,21900,84300,17,35.6,12.8,30,39.1,10.9,23.5,2551.8525951183431951129,60,Airport via Brownes Addition
4384,1,1,59,18,21900,84300,17,16.8,16.0,58,31.5,11.5,21.0,2635.3304476190476189695,60,Airport via Brownes Addition
4385,1,0,60,19,20220,83160,17,25.0,15.2,40,37.0,21.9,41.1,2754.6389318840579710847,61,Highway 2 via Brownes Addition
4385,1,1,60,19,20220,83160,17,33.0,9.9,31,32.2,21.1,37.1,3092.3771295169946332244,61,Highway 2 via Brownes Addition
4386,1,0,18,14,21420,67920,13,56.5,39.7,13,42.8,27.0,19.0,7498.9745397590361444953,62,Medical Lake
4386,1,1,18,14,21420,67920,13,86.1,10.5,9,42.7,26.6,23.0,6170.6181267676767675906,62,Medical Lake
4387,1,0,83,19,19500,83640,18,27.9,15.2,38,45.8,25.9,24.6,5806.1969050279329608352,66,Cheney EWU
4387,1,1,83,19,19500,83640,18,16.0,11.1,56,47.5,25.8,26.7,5253.6001772065124248935,66,Cheney EWU
4388,1,0,52,15,26520,77940,14,32.0,10.8,27,31.3,7.8,26.2,1640.8491384732824426980,68,Cheney Local
4388,1,1,52,15,26520,77940,14,33.2,9.1,26,30.0,8.0,28.5,1535.5548714285714286183,68,Cheney Local
4389,1,0,118,19,20580,85860,18,18.2,7.8,58,24.0,11.6,33.0,1913.4586937500000000000,90,Sprague
4389,1,1,118,19,20580,85860,18,17.3,5.3,60,24.3,11.7,35.0,1818.2160083333333331725,90,Sprague
4390,1,0,60,19,20160,85200,18,34.6,10.6,30,25.9,15.1,47.0,1720.0523623188405797149,94,East Central Millwood
4390,1,1,60,19,20160,85200,18,33.6,9.5,30,24.3,15.7,52.6,1609.6768277777777779236,94,East Central Millwood
4391,1,0,59,18,19500,82260,17,35.3,11.2,30,30.7,13.3,41.2,1740.0855654771784231453,96,Pines Sullivan
