stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,1,1,1,56,Wall @ Spokane Falls Blvd,47.659652,-117.422217
1000,1,1,1,32,Francis @ Pittsburg,47.714897,-117.384525
1001,1,1,1,32,Francis @ Crestline,47.714832,-117.379259
1002,1,1,1,53,Freya @ 28th,47.629256,-117.357764
1004,1,1,1,53,Freya @ 24th,47.632634,-117.357761
1005,1,1,1,53,Freya @ 22nd,47.634355,-117.357732
1006,1,1,1,53,Freya @ Congress,47.636293,-117.35773
1008,1,1,1,53,18th @ Freya,47.6392,-117.35811
1010,1,1,1,53,Ray @ 18th Avenue,47.639225,-117.362939
1012,1,1,1,53,Ray @ 15th,47.64182,-117.36301
1014,1,1,1,53,Thor @ 8th,47.648131,-117.360294
1015,1,1,1,53,Hartson @ Ferrall,47.649935,-117.358919
1017,1,1,3,87,Spokane Falls Blvd @ Cincinnati,47.661924,-117.39803
1018,1,0,3,85,Spokane Falls Blvd @ Cincinnati,47.661753,-117.397671
1020,1,1,1,53,3rd @ Myrtle,47.653552,-117.352436
1022,1,0,1,53,Freya @ 29th Avenue,47.628188,-117.357819
1022,1,1,1,53,Freya @ 29th Avenue,47.628188,-117.357819
1024,1,1,1,53,Arrive Havana @ Sprague Northbound,47.656932,-117.346914
1026,1,1,1,55,Havana @ Ferry,47.660812,-117.346821
1027,1,1,1,55,Havana @ Alki (Fairgrounds),47.662134,-117.346833
1028,1,1,1,55,Broadway @ Havana,47.664471,-117.347504
1031,1,1,1,55,Market @ Cleveland,47.684634,-117.365067
1032,1,1,1,55,Market @ Euclid,47.686092,-117.365026
1034,1,1,1,55,Market @ Glass,47.69064,-117.365034
1035,1,1,1,55,Market @ Garland,47.69333,-117.365005
1036,1,1,1,55,N Market (Ziggy's),47.696038,-117.364936
1037,1,1,1,55,Market @ Heroy,47.698493,-117.364907
1038,1,1,1,55,Wellesley @ Haven,47.70055,-117.366228
1039,1,1,1,55,Wellesley @ Crestline,47.700637,-117.378768
1041,1,1,1,55,Wellesley @ Pittsburg,47.700648,-117.384787
1043,1,1,1,55,Wellesley @ Perry,47.700668,-117.389602
1045,1,1,1,55,Wellesley @ Nevada,47.700733,-117.39619
1046,1,1,1,55,Wellesley @ Cincinnati,47.700697,-117.397751
1048,1,0,1,28,Wellesley @ Addison,47.700753,-117.403849
1048,1,1,1,55,Wellesley @ Addison,47.700753,-117.403849
1049,1,1,1,55,Wellesley @ Lidgerwood,47.700762,-117.4059
1050,1,1,1,55,Wellesley @ Division (Northtown),47.70089,-117.410014
1052,1,1,1,55,Wellesley @ Whitehouse,47.700737,-117.416509
1054,1,1,1,55,Wellesley @ Wall,47.700783,-117.421879
1057,1,1,1,55,Wellesley @ Cedar,47.700774,-117.43233
1058,1,1,1,55,Wellesley @ Maple,47.700765,-117.435002
1060,1,1,1,55,Wellesley @ Cannon,47.700774,-117.440399
1061,1,1,1,55,Wellesley @ Belt,47.700783,-117.443098
1063,1,1,1,55,Wellesley @ Alberta,47.700773,-117.448984
1064,1,1,1,55,Wellesley @ Milton,47.7008,-117.452794
1065,1,1,1,55,Wellesley @ C Street,47.700854,-117.456644
1066,1,1,1,55,Wellesley @ Driscoll,47.700806,-117.460305
1067,1,0,1,29,Hayford @ 9th,47.649024,-117.560771
1069,1,0,1,53,Wellesley @ C Street,47.700727,-117.456882
1070,1,0,1,53,Wellesley @ Milton,47.700673,-117.452005
1071,1,0,1,53,Wellesley @ Alberta,47.700665,-117.449196
1073,1,0,1,56,Wellesley @ Belt,47.700674,-117.443389
1074,1,0,1,56,Wellesley @ Cannon,47.700665,-117.440465
1077,1,0,1,56,Wellesley @ Cedar,47.700684,-117.431827
1079,1,0,1,56,Wellesley @ Monroe,47.700683,-117.425993
1080,1,0,1,56,Wellesley @ Wall,47.700656,-117.42221
1082,1,0,1,56,Wellesley @ Whitehouse,47.700655,-117.416724
1084,1,0,1,56,Wellesley @ Division,47.700619,-117.411667
1085,1,0,1,56,Wellesley @ Lidgerwood,47.700654,-117.406151
1086,1,0,1,56,Wellesley @ Addison,47.700599,-117.403413
1086,1,1,1,29,Wellesley @ Addison,47.700599,-117.403413
1088,1,0,1,56,Wellesley @ Cincinnati,47.700607,-117.397963
1089,1,0,1,56,Wellesley @ Nevada,47.700579,-117.394616
1091,1,0,1,56,Wellesley @ Perry,47.700586,-117.389774
1093,1,0,1,56,Wellesley @ Pittsburg,47.700557,-117.38443
1095,1,0,1,56,Wellesley @ Crestline,47.70051,-117.379046
1096,1,0,2,87,Wellesley @ Haven,47.70045,-117.366638
1097,1,0,1,56,Haven @ Heroy,47.698929,-117.366613
11,1,1,1,56,Wall @ Main,47.658574,-117.422217
1100,1,0,1,56,Market @ Glass,47.690667,-117.365206
