route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1,1840,1,183,22,15300,91020,21,13.2,6.9,91,13.0,13.8,72.5,1020.9437141650023044879,1,Kaimuki-Kalihi
1,1840,0,183,22,15300,91020,21,13.4,7.1,92,15.1,14.8,71.1,1078.8546941358982315535,1,Kaimuki-Kalihi
1,1865,0,170,22,14580,91020,21,14.6,7.0,86,12.3,12.2,57.6,1097.1150669202302632097,1,Kaimuki-Kalihi
1,1865,1,170,22,14580,91020,21,14.5,7.4,84,10.5,11.3,59.6,1013.2166354923857869386,1,Kaimuki-Kalihi
1,1881,1,121,21,18180,91140,20,19.6,9.6,59,14.3,16.0,83.6,1023.6350508923076921815,1,Kaimuki-Kalihi
1,1881,0,121,21,18180,91140,20,19.4,7.1,62,16.0,16.7,80.9,1068.3778606904906118683,1,Kaimuki-Kalihi
1,1882,1,179,22,15240,91500,21,13.5,6.9,88,12.1,14.0,73.3,1021.1247884276729560904,1,Kaimuki-Kalihi
1,1882,0,179,22,15240,91500,21,13.6,7.2,91,13.3,15.0,72.3,1077.9943592381246142981,1,Kaimuki-Kalihi
1,1946,0,170,22,14580,91020,21,14.6,7.0,86,12.3,12.2,57.7,1093.9209738675958187577,1,Kaimuki-Kalihi
1,1946,1,170,22,14580,91020,21,14.5,7.4,84,10.5,11.3,59.7,1013.8195534874290347604,1,Kaimuki-Kalihi
1,1961,0,183,22,15300,90840,21,13.4,7.3,92,14.5,14.8,71.4,1073.1940367901234566362,1,Kaimuki-Kalihi
1,1961,1,183,22,15300,90840,21,13.1,7.1,91,12.4,13.9,72.6,1018.5261138190184050368,1,Kaimuki-Kalihi
1,1977,0,118,21,18000,91140,20,20.1,7.6,60,15.7,16.7,81.4,1061.2352348736013260184,1,Kaimuki-Kalihi
1,1977,1,118,21,18000,91140,20,20.3,9.3,58,13.7,15.9,83.1,1020.2683412888329136310,1,Kaimuki-Kalihi
1,2003,1,179,22,15240,91500,21,13.6,7.0,88,12.1,14.0,73.3,1021.1247884276729560904,1,Kaimuki-Kalihi
1,2003,0,179,22,15240,91500,21,13.6,7.2,91,13.3,15.0,72.6,1072.2066920233164597338,1,Kaimuki-Kalihi
10,1827,1,5,3,45300,53160,2,59.5,12.0,3,12.6,4.3,36.7,642.7601654205607475133,10,Kalihi-Alewa Heights
10,1827,0,5,3,45300,53160,2,65.0,,2,13.5,2.7,23.0,649.5336045454545455142,10,Kalihi-Alewa Heights
10,1829,0,2,3,24600,29820,1,40.0,,2,10.8,8.5,57.0,801.0385732142857141451,10,Kalihi-Alewa Heights
10,1831,0,3,4,24600,53160,8,40.0,,2,11.9,7.1,51.0,751.0405860000000000000,10,Kalihi-Alewa Heights
10,1831,1,3,4,24600,53160,8,,,1,11.5,6.9,57.0,649.0872607142857141451,10,Kalihi-Alewa Heights
10,1840,0,32,18,19980,80460,17,64.9,0.2,16,13.0,6.8,49.3,748.1478999999999999456,10,Kalihi-Alewa Heights
10,1840,1,32,18,19980,80460,17,64.9,0.2,16,14.3,6.8,56.6,646.8825505061867265001,10,Kalihi-Alewa Heights
10,1846,1,3,1,51000,53880,1,25.0,,2,11.4,5.5,43.0,689.6388583333333334427,10,Kalihi-Alewa Heights
10,1846,0,3,1,51000,53880,1,,,1,13.5,2.7,23.0,649.5336045454545455142,10,Kalihi-Alewa Heights
10,1865,1,42,19,17580,81960,18,51.0,16.8,21,12.9,6.6,54.8,652.0435827433628318526,10,Kalihi-Alewa Heights
10,1865,0,42,19,17580,81960,18,49.6,15.7,20,12.0,6.3,45.5,750.4131773019271947477,10,Kalihi-Alewa Heights
10,1881,0,32,18,19980,80460,17,64.9,0.2,16,13.0,6.8,49.3,748.1478999999999999456,10,Kalihi-Alewa Heights
10,1881,1,32,18,19980,80460,17,64.9,0.2,16,14.3,6.8,56.6,646.8825505061867265001,10,Kalihi-Alewa Heights
10,1882,0,33,18,18660,80460,17,65.0,0.3,16,12.8,6.5,46.9,751.1775982074263765186,10,Kalihi-Alewa Heights
10,1882,1,33,18,18660,80460,17,64.9,0.2,16,14.2,6.9,57.0,649.0872607142857141451,10,Kalihi-Alewa Heights
10,1946,1,42,19,17580,81960,18,51.0,16.8,21,12.9,6.6,54.8,652.0435827433628318526,10,Kalihi-Alewa Heights
10,1946,0,42,19,17580,81960,18,49.6,15.6,20,12.0,6.3,45.5,750.4131773019271947477,10,Kalihi-Alewa Heights
10,1961,1,32,18,19980,80460,17,64.9,0.2,16,14.3,6.8,56.6,646.8825505061867265001,10,Kalihi-Alewa Heights
10,1961,0,32,18,19980,80460,17,64.9,0.2,16,13.0,6.8,49.3,748.1478999999999999456,10,Kalihi-Alewa Heights
10,1970,1,3,1,51000,53880,1,15.0,,2,11.4,5.5,43.0,689.6388583333333334427,10,Kalihi-Alewa Heights
10,1970,0,3,1,51000,53880,1,,,1,13.5,2.7,23.0,649.5336045454545455142,10,Kalihi-Alewa Heights
10,1975,0,2,3,24600,29820,1,40.0,,2,10.8,8.5,57.0,801.0385732142857141451,10,Kalihi-Alewa Heights
10,1976,0,3,4,24600,53160,8,40.0,,2,11.9,7.1,51.0,751.0405860000000000000,10,Kalihi-Alewa Heights
10,1976,1,3,4,24600,53160,8,,,1,11.5,6.9,57.0,649.0872607142857141451,10,Kalihi-Alewa Heights
10,1977,0,32,18,19980,80460,17,64.9,0.2,16,13.0,6.8,49.3,748.1478999999999999456,10,Kalihi-Alewa Heights
10,1977,1,32,18,19980,80460,17,64.9,0.2,16,14.3,6.8,56.6,646.8825505061867265001,10,Kalihi-Alewa Heights
10,1978,0,5,3,45300,53160,2,65.0,,2,13.5,2.7,23.0,649.5336045454545455142,10,Kalihi-Alewa Heights
10,1978,1,5,3,45300,53160,2,59.5,12.0,3,12.6,4.3,36.7,642.7601654205607475133,10,Kalihi-Alewa Heights
10,2003,1,33,18,18660,80460,17,64.9,0.2,16,14.2,6.9,57.0,649.0872607142857141451,10,Kalihi-Alewa Heights
10,2003,0,33,18,18660,80460,17,64.9,0.2,16,12.8,6.5,46.9,751.1775982074263765186,10,Kalihi-Alewa Heights
102,1855,1,1,2,50880,56100,1,,,1,13.1,19.0,87.0,1169.2911732558139534197,1L,Downtown-Hawaii Kai Limited
102,1865,1,41,14,22740,69480,13,33.3,8.6,20,14.2,18.7,83.0,1201.7062621951219511795,1L,Downtown-Hawaii Kai Limited
102,1865,0,41,14,22740,69480,13,31.5,2.9,21,15.2,19.7,88.0,1194.6384988505747127983,1L,Downtown-Hawaii Kai Limited
102,1871,1,1,2,50880,56220,1,,,1,12.6,18.7,83.0,1201.7062621951219511795,1L,Downtown-Hawaii Kai Limited
102,1946,1,41,14,22740,69480,13,33.3,7.7,20,14.2,18.7,83.0,1201.7062621951219511795,1L,Downtown-Hawaii Kai Limited
102,1946,0,41,14,22740,69480,13,31.5,3.1,21,15.2,19.7,89.0,1181.0630613636363637855,1L,Downtown-Hawaii Kai Limited
102,1958,1,1,2,50880,56100,1,,,1,13.1,19.0,87.0,1169.2911732558139534197,1L,Downtown-Hawaii Kai Limited
102,2002,1,1,2,50880,56220,1,,,1,12.6,18.7,83.0,1201.7062621951219511795,1L,Downtown-Hawaii Kai Limited
103,1825,1,1,2,49620,51480,1,,,1,20.9,10.8,37.0,1587.4571666666666665573,23,Hawaii Kai-Sea Life Park
