route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
208,8.335,1,51,9,32400,62700,8,20.0,0.0,25,10.5,0.9,2.0,4614.0703000000000000000,,Portland Aerial Tram
208,8.335,0,51,9,32400,62700,8,20.0,0.0,26,10.5,0.9,2.0,4614.3984000000000000000,,Portland Aerial Tram
208,8.336,1,51,9,32400,62700,8,20.0,0.0,25,10.5,0.9,2.0,4614.0703000000000000000,,Portland Aerial Tram
208,8.336,0,51,9,32400,62700,8,20.0,0.0,26,10.5,0.9,2.0,4614.3984000000000000000,,Portland Aerial Tram
12,S.334,0,94,22,17640,93240,21,26.1,10.3,47,20.4,21.2,76.7,1478.1159441135150323909,12,Barbur/Sandy Blvd
12,S.334,1,94,22,17640,93240,21,26.2,10.5,47,20.6,21.1,79.6,1419.9747996481732071977,12,Barbur/Sandy Blvd
14,S.334,0,114,23,17460,94080,21,21.7,5.8,57,18.8,10.3,49.0,1135.2533416666666665573,14,Hawthorne
14,S.334,1,114,23,17460,94080,21,21.7,5.9,57,18.5,10.3,46.0,1213.3721288888888889618,14,Hawthorne
15,S.334,0,98,22,17040,90480,20,24.5,7.3,48,16.4,16.4,81.5,1063.8793721646815121702,15,Belmont/NW 23rd
15,S.334,1,98,22,17040,90480,20,23.5,7.4,50,17.0,15.5,77.1,1073.0940349802890932901,15,Belmont/NW 23rd
155,S.334,0,44,18,24900,83400,16,44.9,0.5,22,28.7,7.6,23.0,1816.7940954545454544858,155,Sunnyside
155,S.334,1,44,18,24900,83400,16,44.9,0.5,22,26.9,6.9,19.0,1973.2480833333333334427,155,Sunnyside
16,S.334,1,32,18,18780,79980,17,57.9,13.9,15,32.4,20.3,47.0,2326.7211500000000000000,16,Front Ave/St Helens Rd
16,S.334,0,32,18,18780,79980,17,57.0,13.0,17,31.5,20.0,49.1,2191.5688182151589242495,16,Front Ave/St Helens Rd
