stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10007,S.334,0,1,31,600 Block SE 223rd,45.518059,-122.433646
1002,S.334,1,1,35,SW Cedar Hills & Fairfield,45.497029,-122.808344
10024,S.334,1,1,17,NW Cornell & 192nd,45.534132,-122.875313
10087,S.334,0,1,9,NW Bethany & Telshire Terrace,45.540627,-122.84027
10089,S.334,0,1,9,NW Bethany & West Union,45.544621,-122.838228
10092,S.334,0,1,9,4700 Block NW Bethany,45.553564,-122.836679
10098,S.334,1,1,9,NW Springville & Kaiser Rd,45.566326,-122.836298
10099,S.334,1,1,9,NW Springville & Oats Terrace,45.565201,-122.842052
10104,S.334,1,1,9,NW Kaiser & Westbrook,45.562749,-122.835082
10109,S.334,1,1,9,NW Bethany & Claremont Dr,45.550835,-122.836928
10114,S.334,1,1,9,NW Bethany & Oak Hills Dr,45.538423,-122.840553
10131,S.334,1,1,22,SW Murray & Jenkins,45.504708,-122.825912
10135,S.334,1,1,22,SE Sunnyside & 122nd,45.428956,-122.537789
10137,S.334,1,1,22,SE Sunnyside & 128th,45.427447,-122.531858
10138,S.334,0,1,22,SE Sunnyside & 132nd,45.426605,-122.527201
10144,S.334,0,1,22,SE Sunnyside & 145th,45.424794,-122.514445
10166,S.334,1,1,16,SW Farmington & 185th,45.4748,-122.86813
10186,S.334,0,1,11,22600 Block SE Hwy 224,45.392419,-122.430089
1019,S.334,1,1,35,SW Cedar Hills & Park Way,45.507522,-122.796007
10194,S.334,0,1,31,17600 Block NE Sandy,45.546912,-122.481823
10197,S.334,0,1,16,NE Cornell & Brookwood Pkwy,45.532846,-122.937853
10290,S.334,1,1,53,SE Washington & 2nd,45.521307,-122.988197
10291,S.334,0,1,17,NW St Helens & Marina Way,45.610649,-122.796029
10307,S.334,1,1,21,SE Flavel & 92nd,45.468462,-122.567216
10309,S.334,1,1,30,NE Sandy & 154th,45.551144,-122.503924
10326,S.334,1,1,44,SE McLoughlin & Glen Echo,45.385627,-122.608407
10327,S.334,1,1,44,McLoughlin & W Gloucester,45.379774,-122.603875
104,S.334,1,1,16,SW Allen & Menlo,45.476377,-122.817348
10421,S.334,1,1,44,19300 Block McLoughlin,45.38166,-122.605371
