route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
100,A.334,0,207,23,13020,93270,22,15.5,8.7,81,26.9,34.2,34.8,5334.3454621613300492627,"",MAX Blue Line
100,A.334,1,207,23,13020,93270,22,12.3,8.2,97,27.3,33.7,34.2,5350.9909957429501086136,"",MAX Blue Line
190,A.334,0,146,22,15540,91410,21,16.7,4.9,73,19.5,11.0,15.7,3833.5646553488372094473,"",MAX Yellow Line
190,A.334,1,146,22,15540,91410,21,16.6,4.8,73,19.6,10.8,15.5,3795.5626348113207547046,"",MAX Yellow Line
200,A.334,0,141,21,15600,89550,21,17.3,6.1,69,26.9,19.2,20.5,5126.9793943494423791663,"",MAX Green Line
200,A.334,1,141,21,15600,89550,21,17.2,7.5,72,25.8,18.7,20.3,5034.0104869252873562351,"",MAX Green Line
90,A.334,0,122,21,12570,84540,20,17.8,6.5,61,27.9,29.5,25.8,6276.2060337078651684708,"",MAX Red Line
90,A.334,1,122,21,12570,84540,20,18.2,6.7,61,29.8,23.5,19.8,6586.6519541083916082310,"",MAX Red Line
100,A.335,0,207,23,13020,93270,22,15.5,8.7,81,26.9,34.2,34.8,5334.3454621613300492627,"",MAX Blue Line
100,A.335,1,207,23,13020,93270,22,12.3,8.2,97,27.3,33.7,34.2,5350.9909957429501086136,"",MAX Blue Line
190,A.335,0,146,22,15540,91410,21,16.7,5.0,73,19.5,11.0,15.7,3833.5646553488372094473,"",MAX Yellow Line
190,A.335,1,146,22,15540,91410,21,16.6,4.8,73,19.6,10.8,15.5,3795.5626348113207547046,"",MAX Yellow Line
200,A.335,0,141,21,15600,89550,21,17.3,6.1,69,26.9,19.2,20.5,5126.9793943494423791663,"",MAX Green Line
200,A.335,1,141,21,15600,89550,21,17.2,7.5,72,25.8,18.7,20.3,5034.0104869252873562351,"",MAX Green Line
90,A.335,0,122,21,12570,84540,20,17.8,6.5,61,27.9,29.5,25.8,6276.2060337078651684708,"",MAX Red Line
90,A.335,1,122,21,12570,84540,20,18.2,6.7,61,29.8,23.5,19.8,6586.6519541083916082310,"",MAX Red Line
100,A.336,0,207,23,13020,93270,22,15.5,8.7,81,26.9,34.2,34.8,5334.3454621613300492627,"",MAX Blue Line
100,A.336,1,207,23,13020,93270,22,12.3,8.2,97,27.3,33.7,34.2,5350.9909957429501086136,"",MAX Blue Line
190,A.336,0,146,22,15540,91410,21,16.7,4.9,73,19.5,11.0,15.7,3833.5646553488372094473,"",MAX Yellow Line
190,A.336,1,146,22,15540,91410,21,16.6,4.8,73,19.6,10.8,15.5,3795.5626348113207547046,"",MAX Yellow Line
200,A.336,0,141,21,15600,89550,21,17.3,6.1,69,26.9,19.2,20.5,5126.9793943494423791663,"",MAX Green Line
200,A.336,1,141,21,15600,89550,21,17.2,7.5,72,25.8,18.7,20.3,5034.0104869252873562351,"",MAX Green Line
90,A.336,0,122,21,12570,84540,20,17.7,6.4,61,27.9,29.5,25.8,6276.2060337078651684708,"",MAX Red Line
90,A.336,1,122,21,12570,84540,20,18.2,6.7,61,29.8,23.5,19.8,6586.6519541083916082310,"",MAX Red Line
100,B.334,0,177,24,12600,95280,23,15.6,6.0,76,26.9,36.7,37.3,5337.0844648070061627851,"",MAX Blue Line
100,B.334,1,177,24,12600,95280,23,14.8,5.8,85,27.6,36.5,37.0,5340.3451776839565742107,"",MAX Blue Line
190,B.334,0,120,22,14970,93300,22,20.6,7.3,60,19.5,11.0,15.8,3831.6085223728813558043,"",MAX Yellow Line
