stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
11042,1,1,1,4,400 E @ 2698 N,41.308337,-111.968591
11184,1,0,1,12,22ND ST @ 302 E,41.227052,-111.972861
11246,1,1,1,11,1900 W @ 5645 S,41.160838,-112.026199
11294,1,1,1,9,WASHINGTON BLVD @ 1209 S,41.243876,-111.970132
11297,1,1,1,9,WASHINGTON BLVD @ 1581 S,41.239338,-111.970231
11298,1,1,1,9,WASHINGTON BLVD @ 1721 S,41.236462,-111.970304
11299,1,1,1,9,WASHINGTON BLVD @ 1825 S,41.234653,-111.970343
11431,1,0,1,12,MAIN ST @ 1168 N,41.129564,-112.025888
11435,1,0,1,12,MAIN ST @ 2302 N,41.147591,-112.025931
11449,1,0,1,12,1900 W @ 6002 S,41.154332,-112.025925
11451,1,0,1,12,1900 W @ 5718 S,41.159099,-112.025915
11490,1,0,1,9,WASHINGTON BLVD @ 1830 S,41.234182,-111.970002
11491,1,0,1,9,WASHINGTON BLVD @ 1690 S,41.237043,-111.969933
11492,1,0,1,9,WASHINGTON BLVD @ 1522 S,41.239154,-111.969877
11496,1,0,1,9,WASHINGTON BLVD @ 830 S,41.304402,-111.968594
11498,1,0,1,9,WASHINGTON BLVD @ 554 S,41.253421,-111.969628
11515,1,1,2,20,WASHINGTON BLVD @ 2711 S,41.216208,-111.970721
11518,1,1,2,20,WASHINGTON BLVD @ 3211 S,41.205836,-111.970965
11520,1,1,2,20,WASHINGTON BLVD @ 3405 S,41.201484,-111.971064
11522,1,1,1,9,WASHINGTON BLVD @ 3505 S,41.199558,-111.971099
11526,1,1,1,9,WASHINGTON BLVD @ 3911 S,41.191678,-111.971291
11530,1,1,1,9,ARMY ST @ 4600 S,41.179441,-111.973674
11536,1,1,1,9,ADAMS AVE @ 5280 S,41.167411,-111.968645
11546,1,0,2,21,WASHINGTON BLVD @ 3180 S,41.206463,-111.970663
11549,1,0,2,21,WASHINGTON BLVD @ 2666 S,41.216811,-111.970443
11551,1,0,1,9,WASHINGTON BLVD @ 3700 S,41.195733,-111.970921
11554,1,0,1,9,25TH ST @ 599 E,41.220502,-111.965137
11555,1,1,1,9,25TH ST @ 608 E,41.220663,-111.964558
11569,1,0,1,9,HARRISON BLVD @ 3415 S,41.201305,-111.948841
11576,1,1,1,9,HARRISON BLVD @ 2980 S,41.210264,-111.948353
11578,1,1,1,9,HARRISON BLVD @ 2810 S,41.213848,-111.948275
11584,1,1,1,9,25TH ST @ 810 E,41.220573,-111.959051
11637,1,0,1,9,HARRISON BLVD @ 4471 S,41.182428,-111.949272
11675,1,0,1,9,ARMY ST @ 4410 S,41.183152,-111.973503
11686,1,0,1,9,WASHINGTON BLVD @ 654 N,41.269892,-111.969315
11688,1,0,1,9,WASHINGTON BLVD @ 910 N,41.274321,-111.969221
11690,1,0,1,9,WASHINGTON BLVD @ 1610 N,41.286324,-111.968991
11693,1,0,1,9,400 E @ 2010 N,41.294428,-111.968799
11696,1,0,1,9,400 E @ 2280 N,41.299486,-111.968709
11699,1,1,1,4,450 E @ 3004 N,41.315678,-111.966627
11703,1,1,1,4,1050 E @ 3049 N,41.316107,-111.947474
11704,1,0,1,6,1050 E @ 2855 N,41.312931,-111.947514
11705,1,1,1,4,1050 E @ 2775 N,41.310383,-111.947546
11708,1,1,1,4,2600 N @ 852 E,41.305817,-111.953593
11721,1,1,1,9,WASHINGTON BLVD @ 1225 N,41.279939,-111.969387
11728,1,1,1,9,WASHINGTON BLVD @ 405 S,41.255972,-111.969897
11730,1,1,1,9,WASHINGTON BLVD @ 605 S,41.252942,-111.969927
11731,1,1,1,9,WASHINGTON BLVD @ 711 S,41.251275,-111.969981
11760,1,1,1,9,36TH ST @ 1420 E,41.197481,-111.942574
11841,1,1,1,4,3100 N @ 645 E,41.317355,-111.960871
11937,1,1,1,9,4700 S @ 50 E,41.177742,-111.977955
11954,1,0,1,9,350 E @ 5000 S,41.172538,-111.972207
12145,1,0,1,12,1900 W @ 5390 S,41.165801,-112.025899
12229,1,0,1,12,500 W @ 2554 S,40.862215,-111.892167
12245,1,0,1,12,MAIN ST @ 824 N,40.897913,-111.878936
12249,1,0,1,12,MAIN ST @ 1530 N,40.905624,-111.878918
12261,1,0,1,12,MAIN ST @ 855 S,41.022121,-111.925265
12262,1,0,1,12,MAIN ST @ 579 S,41.025006,-111.928718
12264,1,0,1,12,MAIN ST @ 201 S,41.031111,-111.935726
12461,1,0,1,12,MAIN ST @ 680 N,41.046012,-111.952458
12463,1,0,1,12,MAIN ST @ 685 S,41.050752,-111.958317
12476,1,0,1,12,MAIN ST @ 1130 N,41.076805,-111.983418
12477,1,0,1,12,MAIN ST @ 1380 N,41.080108,-111.988855
12514,1,1,1,11,MAIN ST @ 2465 N,41.150621,-112.026192
12522,1,1,1,11,MAIN ST @ 291 N,41.117614,-112.026211
12533,1,1,1,11,MAIN ST @ 1969 N,41.088094,-112.000243
12546,1,1,1,11,GENTILE ST @ 70 E,41.060106,-111.964126
12551,1,1,1,11,MAIN ST @ 736 S,41.049586,-111.957311
12552,1,1,1,11,MAIN ST @ 836 S,41.047447,-111.954837
12571,1,1,1,11,MAIN ST @ 1206 S,41.014498,-111.916327
12577,1,1,1,11,MAIN ST @ 560 S,40.910936,-111.879138
12586,1,1,1,11,MAIN ST @ 301 N,40.892623,-111.880823
12587,1,1,1,11,MAIN ST @ 298 S,40.886481,-111.880791
12592,1,1,1,11,MAIN ST @ 1240 S,40.877295,-111.883721
12597,1,1,1,11,MAIN ST @ 1820 S,40.870793,-111.889025
12599,1,1,1,11,MAIN ST @ 2024 S,40.868681,-111.890736
12613,1,1,1,11,6TH AVE @ 841 E,40.776277,-111.864373
12628,1,0,1,12,M ST @ 51 N,40.770739,-111.865669
12630,1,0,1,12,SOUTH TEMPLE @ 972 E,40.769285,-111.862966
12631,1,0,1,12,SOUTH TEMPLE @ 1066 E,40.769288,-111.860091
12633,1,0,1,12,SOUTH TEMPLE @ 1274 E,40.769284,-111.854367
12648,1,0,1,12,SOUTH TEMPLE @ 370 E,40.769279,-111.880063
12715,1,0,1,12,300 W @ 870 N,40.788855,-111.900128
12716,1,0,1,12,BECK ST @ 1000 N,40.792051,-111.902015
12737,1,0,1,12,200 E @ 221 S,40.976012,-111.883202
