route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
35977,1022,1,0,60.0,0.0,NORTH MEDICAL DR @ 50 N,40.772598,-111.837674,6,6TH AVENUE
35977,1022,1,1,60.0,0.0,NORTH MEDICAL DR @ 50 N,40.772598,-111.837674,6,6TH AVENUE
35742,11042,1,0,60.2,2.1,400 E @ 2698 N,41.308337,-111.968591,612,WASHINGTON BLVD
35742,11042,1,1,60.0,0.0,400 E @ 2698 N,41.308337,-111.968591,612,WASHINGTON BLVD
35742,11130,1,0,59.8,1.6,4700 S @ 97 E,41.177649,-111.977865,612,WASHINGTON BLVD
35742,11131,1,0,59.8,1.6,4700 S @ 235 E,41.177576,-111.975528,612,WASHINGTON BLVD
35717,11156,1,1,60.0,2.2,WALL AVE @ 3969 S,41.193599,-111.979653,470,OGDEN - SALT LAKE INTERCITY
35717,11158,1,1,60.0,2.2,RIVERDALE RD @ 4191 S,41.187441,-111.984764,470,OGDEN - SALT LAKE INTERCITY
35717,11184,1,0,60.6,3.3,22ND ST @ 302 E,41.227052,-111.972861,470,OGDEN - SALT LAKE INTERCITY
35717,11187,1,0,60.6,3.3,WALL AVE @ 2110 S,41.228696,-111.978551,470,OGDEN - SALT LAKE INTERCITY
35717,11198,1,1,60.0,2.5,22ND ST @ 299 E,41.226902,-111.973449,470,OGDEN - SALT LAKE INTERCITY
35717,11200,1,1,60.0,2.5,36TH ST @ 130 E,41.198019,-111.978059,470,OGDEN - SALT LAKE INTERCITY
35742,11210,1,0,59.8,1.6,300 W @ 4802 S,41.175956,-111.982892,612,WASHINGTON BLVD
35717,11234,1,0,60.6,3.3,WASHINGTON BLVD @ 2392 S,41.223196,-111.970245,470,OGDEN - SALT LAKE INTERCITY
35742,11234,1,0,60.0,1.6,WASHINGTON BLVD @ 2392 S,41.223196,-111.970245,612,WASHINGTON BLVD
35717,11245,1,1,60.2,2.3,1900 W @ 5387 S,41.165471,-112.026166,470,OGDEN - SALT LAKE INTERCITY
35717,11246,1,1,60.3,2.5,1900 W @ 5645 S,41.160838,-112.026199,470,OGDEN - SALT LAKE INTERCITY
35742,11294,1,1,60.1,0.3,WASHINGTON BLVD @ 1209 S,41.243876,-111.970132,612,WASHINGTON BLVD
35742,11297,1,1,60.0,0.0,WASHINGTON BLVD @ 1581 S,41.239338,-111.970231,612,WASHINGTON BLVD
35742,11298,1,1,60.0,0.0,WASHINGTON BLVD @ 1721 S,41.236462,-111.970304,612,WASHINGTON BLVD
35742,11299,1,1,60.0,0.0,WASHINGTON BLVD @ 1825 S,41.234653,-111.970343,612,WASHINGTON BLVD
35742,11300,1,1,60.0,0.0,WASHINGTON BLVD @ 1911 S,41.233071,-111.970365,612,WASHINGTON BLVD
35717,11340,1,0,60.5,2.8,WALL AVE @ 3920 S,41.193524,-111.979379,470,OGDEN - SALT LAKE INTERCITY
35717,11424,1,0,60.5,2.5,STATE ST @ 835 S,41.101018,-112.012693,470,OGDEN - SALT LAKE INTERCITY
35717,11425,1,0,60.5,2.5,STATE ST @ 571 S,41.105845,-112.017679,470,OGDEN - SALT LAKE INTERCITY
35717,11430,1,0,60.5,2.5,MAIN ST @ 820 N,41.125954,-112.025884,470,OGDEN - SALT LAKE INTERCITY
35717,11431,1,0,60.5,2.5,MAIN ST @ 1168 N,41.129564,-112.025888,470,OGDEN - SALT LAKE INTERCITY
35717,11432,1,0,60.5,2.5,MAIN ST @ 1300 N,41.132564,-112.025891,470,OGDEN - SALT LAKE INTERCITY
