table_name,column_name,active_field
DBNAME,utahtransitauthority_light_rail,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,1
agency,agency_phone,1
agency,agency_fare_url,0
stops,stop_id,3633
stops,stop_code,3633
stops,stop_name,3633
stops,stop_desc,3632
stops,stop_lat,3633
stops,stop_lon,3633
stops,zone_id,0
stops,stop_url,0
stops,location_type,0
stops,parent_station,0
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,52
routes,agency_id,52
routes,route_short_name,52
routes,route_long_name,52
routes,route_desc,0
routes,route_type,52
routes,route_url,0
routes,route_color,52
routes,route_text_color,52
trips,route_id,3513
trips,service_id,3513
trips,trip_id,3513
trips,trip_headsign,3289
trips,trip_short_name,0
trips,direction_id,3513
trips,block_id,3513
trips,shape_id,3513
stop_times,trip_id,118636
stop_times,arrival_time,118636
stop_times,departure_time,118636
stop_times,stop_id,118636
stop_times,stop_sequence,118636
stop_times,stop_headsign,0
stop_times,pickup_type,0
stop_times,drop_off_type,0
stop_times,shape_dist_traveled,0
calendar,service_id,7
calendar,monday,7
calendar,tuesday,7
calendar,wednesday,7
calendar,thursday,7
calendar,friday,7
calendar,saturday,7
calendar,sunday,7
calendar,start_date,7
calendar,end_date,7
calendar_dates,service_id,4
calendar_dates,date,4
calendar_dates,exception_type,4
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,47044
shapes,shape_pt_lat,47044
shapes,shape_pt_lon,47044
shapes,shape_pt_sequence,47044
shapes,shape_dist_traveled,47044
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
