route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
35681,1,0,19,11,32040,67320,10,60.0,0.0,10,21.1,12.3,63.0,1036.5843225806451611739,205,500 EAST
35681,1,1,19,11,32040,67320,10,60.0,0.0,9,21.6,12.6,68.0,979.9612447761194031075,205,500 EAST
35682,1,0,24,14,27240,73800,13,60.7,2.1,12,21.2,17.4,89.0,1033.0526772727272727571,209,900 EAST
35682,1,1,24,14,27240,73800,13,59.7,0.9,12,25.2,16.7,83.0,1072.2708121951219511795,209,900 EAST
35685,1,0,18,11,35391,68960,9,60.1,1.3,9,25.3,15.6,49.0,1714.0080708333333334427,217,REDWOOD SHUTTLE
35685,1,1,18,11,35391,68960,9,59.8,0.3,9,22.4,16.8,52.0,1739.6569666666666666924,217,REDWOOD SHUTTLE
35687,1,0,20,11,33120,69840,10,60.0,0.0,10,24.4,22.4,73.0,1629.3309291666666665573,220,HIGHLAND DRIVE / 1300 EAST
35687,1,1,20,11,33120,69840,10,60.0,0.0,10,26.4,22.4,49.0,2442.5267791666666665573,220,HIGHLAND DRIVE / 1300 EAST
35699,1,0,20,10,33600,67800,10,59.8,0.3,10,21.2,8.4,35.0,1295.6475999999999999035,33,3300 SOUTH
35699,1,1,20,10,33600,67800,10,59.8,0.3,10,23.8,9.1,38.0,1291.8715810810810809392,33,3300 SOUTH
35705,1,0,19,10,33420,67860,10,60.0,0.0,9,23.6,13.0,48.0,1457.1270042553191488524,41,4100 SOUTH
35705,1,1,19,10,33420,67860,10,60.0,0.0,10,23.5,13.3,51.0,1405.5804000000000000000,41,4100 SOUTH
35716,1,0,19,10,33000,67560,10,60.0,0.0,10,21.3,12.8,44.0,1567.5549767441860465803,47,4700 SOUTH
35716,1,1,19,10,33000,67560,10,60.0,0.0,9,21.1,12.7,52.0,1311.2999000000000000772,47,4700 SOUTH
35717,1,0,11,15,27000,78360,14,60.3,4.5,6,28.3,54.2,183.0,1571.1320884615384615637,470,OGDEN - SALT LAKE INTERCITY
35717,1,1,11,15,27000,78360,14,60.0,0.0,5,28.8,54.6,188.0,1538.6767090909090908547,470,OGDEN - SALT LAKE INTERCITY
35729,1,0,14,11,31860,65940,9,87.0,2.4,7,16.3,6.2,29.0,1155.4744571428571427634,519,FAIRPARK
35729,1,1,14,11,31860,65940,9,88.0,1.2,7,22.0,6.6,32.0,1120.8107677419354838498,519,FAIRPARK
35735,1,0,20,11,30600,65820,10,60.0,0.0,10,31.1,10.9,15.0,4076.8768571428571427634,550,AIRPORT
35735,1,1,20,11,30600,65820,10,60.0,0.0,10,31.3,12.0,17.0,3897.7459750000000000000,550,AIRPORT
35756,1,0,78,14,34380,80700,13,20.0,0.0,39,28.2,19.3,19.7,5451.2439676712328766539,701,BLUE LINE
35756,1,1,78,14,34380,80700,13,20.0,0.0,39,28.1,19.2,19.7,5413.4320157534246574084,701,BLUE LINE
35757,1,0,82,14,34080,82200,13,20.0,0.0,41,29.2,28.2,22.9,6769.8210244988864143657,703,RED LINE
35757,1,1,82,14,34080,82200,13,20.0,0.0,41,30.1,28.2,22.9,6776.1407858574610243732,703,RED LINE
35758,1,0,79,14,34500,80580,13,20.0,0.0,37,21.5,11.8,13.9,4786.4400240776699028298,704,GREEN LINE
35758,1,1,79,14,34500,80580,13,20.0,0.0,37,21.6,12.2,14.2,4831.6635494186046511399,704,GREEN LINE
35761,1,0,33,19,25020,86940,17,61.4,5.7,17,61.1,49.9,7.0,43857.892566666665573,750,FRONTRUNNER
35761,1,1,33,19,25020,86940,17,60.0,0.0,16,58.7,49.9,7.0,43857.892566666665573,750,FRONTRUNNER
35787,1,0,2,6,28380,61320,9,,,1,31.7,45.5,28.0,8811.0525888888888889618,951,DWNTWN/SNOWBIRD/ALTA
35787,1,1,2,6,28380,61320,9,,,1,31.2,44.7,24.0,10191.7845652173913042765,951,DWNTWN/SNOWBIRD/ALTA
35788,1,0,2,6,27660,62100,10,,,1,26.7,37.4,21.0,9841.7860300000000000000,952,U of U/SNBRD/ALTA
35788,1,1,2,6,27660,62100,10,,,1,26.5,37.1,20.0,10278.6477263157894735806,952,U of U/SNBRD/ALTA
35789,1,0,2,5,29220,62040,9,,,1,29.1,41.8,19.0,12219.1548833333333334427,954,4500 S TRAX/SNOWBIRD/ALTA
35789,1,1,2,5,29220,62040,9,,,1,29.3,42.0,19.0,12275.3693500000000000000,954,4500 S TRAX/SNOWBIRD/ALTA
35790,1,0,28,12,23400,64500,11,30.7,3.1,14,30.1,29.6,19.8,8303.3427201520912546780,960,7200 S TRAX/SOLITUDE/BRIGHTON
35790,1,1,28,12,23400,64500,11,30.0,0.0,14,32.2,29.5,21.0,7765.6348500000000000000,960,7200 S TRAX/SOLITUDE/BRIGHTON
35791,1,0,24,12,26160,64920,11,29.3,2.0,12,30.8,31.2,12.9,13831.5235587412587413987,962,10000 TRAX/SOLITUDE/BRIGHTON
35791,1,1,24,12,26160,64920,11,30.0,0.0,12,35.0,31.5,15.0,11892.5235214285714286183,962,10000 TRAX/SOLITUDE/BRIGHTON
35792,1,0,2,4,24780,65460,11,,,1,27.1,28.4,28.0,5538.7047074074074073588,990,7200 S TRAX  TO  SNOWBIRD/ALTA
35792,1,1,2,4,24780,65460,11,,,1,26.0,29.0,28.0,5660.2718333333333334427,990,7200 S TRAX  TO  SNOWBIRD/ALTA
35793,1,0,23,14,21480,64800,12,41.6,14.3,11,26.6,23.1,17.7,7250.1754847826086957235,992,10000 S TRAX/SNOWBIRD/ALTA
35793,1,1,23,14,21480,64800,12,30.6,1.7,11,24.6,22.6,18.0,6985.2104000000000001351,992,10000 S TRAX/SNOWBIRD/ALTA
35977,1,0,23,12,29040,69900,11,60.0,0.0,12,18.2,6.4,33.0,1034.9811968750000000000,6,6TH AVENUE
35977,1,1,23,12,29040,69900,11,60.0,0.0,11,20.2,6.4,34.0,1004.1251939393939393144,6,6TH AVENUE
35681,11,0,56,17,23340,81960,16,33.3,9.6,28,18.5,12.3,63.0,1036.5843225806451611739,205,500 EAST
