stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1022,1,0,1,12,NORTH MEDICAL DR @ 50 N,40.772598,-111.837674
1022,1,1,1,11,NORTH MEDICAL DR @ 50 N,40.772598,-111.837674
1024,11,1,1,14,REDWOOD RD @ 701 N,40.784947,-111.939549
1029,11,1,1,22,STATE ST @ 101 S,40.295471,-111.694104
10337,11,0,1,18,STATE ST @ 1360 S,40.272233,-111.684252
10338,11,0,1,18,STATE ST @ 1532 S,40.269396,-111.682995
10339,11,0,1,18,STATE ST @ 1632 S,40.267282,-111.682065
10340,11,1,1,22,STATE RD @ 1344 W,40.368219,-111.760181
10341,11,1,1,22,STATE ST @ 1084 E,40.370422,-111.769827
10342,11,1,1,22,STATE ST @ 935 E,40.371101,-111.772851
10343,11,1,1,22,STATE ST @ 765 E,40.372234,-111.777782
10344,11,1,1,22,STATE ST @ 695 E,40.373066,-111.781157
10345,11,1,1,22,STATE ST @ 565 E,40.373723,-111.783928
10347,11,1,1,22,STATE ST @ 255 E,40.375488,-111.791676
10348,11,1,1,22,MAIN ST @ 6 W,40.376911,-111.798994
10349,11,1,1,22,MAIN ST @ 98 W,40.376923,-111.801151
10350,11,1,1,22,MAIN ST @ 308 W,40.376962,-111.806997
10351,11,1,1,22,MAIN ST @ 434 W,40.376978,-111.810089
10352,11,1,1,22,STATE ST @ 124 W,40.379857,-111.813272
1038,11,1,1,22,STATE ST @ 830 N,40.313278,-111.701888
10381,11,0,1,21,STATE ST @ 131 N,40.379225,-111.813363
10382,11,0,1,21,MAIN ST @ 451 W,40.376788,-111.810254
10384,11,0,1,21,MAIN ST @ 265 W,40.376756,-111.805551
10388,11,1,1,22,500 W @ 358 N,40.238382,-111.667354
10390,11,1,1,22,500 W @ 508 N,40.240802,-111.667323
10393,11,1,1,22,500 W @ 852 N,40.245064,-111.667301
10394,11,1,1,22,500 W @ 988 N,40.246757,-111.667317
10395,11,1,1,22,500 W @ 1078 N,40.248628,-111.667296
10396,11,1,2,53,STATE ST @ 1460 N,40.253929,-111.669909
10398,11,1,1,22,STATE ST @ 1730 N,40.256915,-111.672676
10399,11,1,1,22,STATE ST @ 1870 N,40.259491,-111.675071
1040,11,1,1,22,STATE ST @ 1090 N,40.317158,-111.703591
10400,11,1,1,22,STATE ST @ 1950 N,40.261527,-111.676955
10401,11,1,1,22,STATE ST @ 1851 S,40.264135,-111.679381
10402,11,1,1,22,STATE ST @ 1697 S,40.266284,-111.681193
10403,11,1,1,22,STATE ST @ 1587 S,40.268211,-111.682119
10405,11,1,1,22,STATE ST @ 1365 S,40.272031,-111.683803
1041,11,1,1,22,STATE ST @ 1220 N,40.319878,-111.704794
10412,11,0,1,8,CAMPUS DR @ 900 S,40.280882,-111.715671
10417,11,0,1,8,800 W @ 980 N,40.315067,-111.714962
10418,11,0,1,8,800 W @ 1120 N,40.317586,-111.715029
10419,11,0,1,8,1200 N @ 810 W,40.319231,-111.715722
10420,11,0,1,8,1200 N @ 910 W,40.319214,-111.717747
10421,11,0,1,8,1200 N @ 1040 W,40.319198,-111.720876
10422,11,0,1,8,1200 N @ 1186 W,40.319183,-111.724535
10423,11,0,1,8,1200 W @ 1320 N,40.321218,-111.724685
10424,11,0,1,8,1200 W @ 1448 N,40.323299,-111.724742
10427,11,1,1,7,1200 N @ 1175 W,40.319055,-111.724285
10428,11,1,1,7,1200 N @ 1061 W,40.319071,-111.721633
10429,11,1,1,7,1200 N @ 901 W,40.319076,-111.717706
10431,11,0,1,21,MAIN ST @ 101 W,40.376731,-111.801485
10432,11,0,1,21,STATE ST @ 320 E,40.374918,-111.790216
10433,11,0,1,21,STATE ST @ 406 E,40.374313,-111.787532
10434,11,0,1,21,STATE ST @ 562 E,40.373511,-111.784127
10435,11,0,1,21,STATE ST @ 750 E,40.371956,-111.777753
10436,11,0,1,21,STATE ST @ 930 E,40.370835,-111.772668
10437,11,0,1,21,STATE RD @ 1909 W,40.369776,-111.767986
10438,11,0,1,21,CENTER ST @ 585 W,40.365621,-111.749442
10439,11,0,1,21,CENTER ST @ 381 W,40.365068,-111.746951
10440,11,0,1,21,CENTER ST @ 195 W,40.364424,-111.744112
10441,11,0,1,21,CENTER ST @ 125 W,40.364054,-111.742529
10442,11,0,1,21,STATE RD @ 100 E,40.357792,-111.738969
10444,11,0,1,21,STATE ST @ 765 N,40.351506,-111.731487
10445,11,0,1,21,STATE ST @ 611 N,40.349995,-111.729693
10446,11,0,1,21,STATE ST @ 521 N,40.346674,-111.725723
10447,11,0,1,21,STATE ST @ 375 N,40.344308,-111.722934
10449,11,0,1,21,STATE ST @ 10 S,40.338088,-111.717279
1045,11,1,1,22,STATE ST @ 1960 N,40.332719,-111.712453
10450,11,0,1,21,STATE ST @ 120 S,40.335499,-111.715161
10451,11,0,1,21,STATE ST @ 1801 N,40.330345,-111.710965
10453,11,0,1,21,STATE ST @ 1369 N,40.322359,-111.706279
10454,11,0,1,21,STATE ST @ 1001 N,40.315717,-111.703344
10457,11,0,1,21,STATE ST @ 597 N,40.308171,-111.700029
10460,11,0,1,21,STATE ST @ 115 N,40.299145,-111.696076
