route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
14786,1_merged_2069191,0,61,18,15240,78720,18,32.7,9.0,32,17.7,12.3,61.5,1075.9923350904392763654,10,NACO/BROADWAY
14786,1_merged_2069191,1,61,18,15240,78720,18,34.0,10.2,29,17.9,13.2,68.0,1036.3111955223880598533,10,NACO/BROADWAY
14786,2_merged_2069193,1,61,18,15240,78780,18,34.0,10.3,29,18.8,13.2,68.0,1036.3111955223880598533,10,NACO/BROADWAY
14786,2_merged_2069193,0,61,18,15240,78780,18,32.8,9.1,32,19.0,12.3,61.5,1075.9923350904392763654,10,NACO/BROADWAY
14786,3_merged_2069192,1,55,18,17100,78780,17,36.5,12.2,28,18.7,13.2,68.0,1036.3111955223880598533,10,NACO/BROADWAY
14786,3_merged_2069192,0,55,18,17100,78780,17,36.8,12.6,27,18.8,12.3,61.6,1075.3239702752293579577,10,NACO/BROADWAY
14787,1_merged_2069191,0,104,19,16080,81480,18,20.6,5.2,51,17.3,13.4,67.0,1071.8529878787878786288,14,PERRIN BEITEL
14787,1_merged_2069191,1,104,19,16080,81480,18,20.5,5.5,53,16.1,13.3,65.5,1080.8469036852880959127,14,PERRIN BEITEL
14787,2_merged_2069193,0,88,19,16440,81480,18,24.4,5.3,43,18.6,13.4,67.0,1071.8529878787878786288,14,PERRIN BEITEL
14787,2_merged_2069193,1,88,19,16440,81480,18,24.5,4.9,45,17.6,13.2,65.1,1081.1395742282344780936,14,PERRIN BEITEL
14787,3_merged_2069192,0,72,19,16800,81240,18,30.9,5.8,34,19.2,13.4,67.0,1071.8529878787878786288,14,PERRIN BEITEL
14787,3_merged_2069192,1,72,19,16800,81240,18,32.1,6.0,38,17.3,12.0,59.3,1083.9828800541516245973,14,PERRIN BEITEL
14788,2_merged_2069193,1,56,15,31920,81000,14,28.5,8.9,29,21.1,6.3,3.0,16685.5255000000000000000,16,FT. SAM HOUSTON / USO Express
14788,2_merged_2069193,0,56,15,31920,81000,14,28.8,9.1,27,26.5,7.5,5.0,9903.7805250000000000000,16,FT. SAM HOUSTON / USO Express
14789,1_merged_2069191,0,80,18,19500,79800,17,24.1,7.5,42,45.9,12.3,3.1,30260.6447722222222220764,17,IH-35 Express
14789,1_merged_2069191,1,80,18,19500,79800,17,25.3,8.2,38,31.6,13.7,10.0,8045.0849111111111110382,17,IH-35 Express
14789,2_merged_2069193,0,33,17,19500,78000,16,60.0,1.8,17,49.1,12.3,3.0,32374.7753500000000000000,17,IH-35 Express
14789,2_merged_2069193,1,33,17,19500,78000,16,59.8,1.5,16,32.0,13.7,10.0,8045.0849111111111110382,17,IH-35 Express
14789,3_merged_2069192,0,33,17,19500,78000,16,60.0,1.8,17,49.1,12.3,3.0,32374.7753500000000000000,17,IH-35 Express
14789,3_merged_2069192,1,33,17,19500,78000,16,59.8,1.5,16,32.0,13.7,10.0,8045.0849111111111110382,17,IH-35 Express
14790,1_merged_2069191,1,171,19,14700,81060,18,12.7,10.7,82,16.3,8.8,47.9,993.0381038471536262778,2,BLANCO
14790,1_merged_2069191,0,171,19,14700,81060,18,12.1,11.1,89,16.3,8.3,40.4,1104.3830100057012541450,2,BLANCO
14790,2_merged_2069193,1,120,19,17400,80580,18,17.5,13.4,56,18.8,9.1,46.9,1048.0572548929663607760,2,BLANCO
14790,2_merged_2069193,0,120,19,17400,80580,18,16.5,13.3,63,17.7,9.1,42.4,1157.7030490616621984873,2,BLANCO
14790,3_merged_2069192,1,92,19,16740,80880,18,21.1,14.7,45,19.7,10.4,54.6,1027.5749208955223878981,2,BLANCO
14790,3_merged_2069192,0,92,19,16740,80880,18,23.0,18.6,47,18.8,10.0,47.2,1141.2159785812989405231,2,BLANCO
14791,1_merged_2069191,1,152,19,15780,82440,19,16.9,9.4,64,23.3,9.9,52.7,1011.6058551209253416786,20,NEW BRAUNFELS Frequent
14791,1_merged_2069191,0,152,19,15780,82440,19,16.8,5.2,60,14.6,16.1,85.9,1000.3215081664703571379,20,NEW BRAUNFELS Frequent
14791,2_merged_2069193,1,121,19,15840,82320,18,18.0,9.8,64,25.8,7.2,36.6,1060.5258139722491126463,20,NEW BRAUNFELS Frequent
14791,2_merged_2069193,0,121,19,15840,82320,18,30.0,0.9,34,16.5,18.7,95.0,1047.5325489361702127869,20,NEW BRAUNFELS Frequent
14791,3_merged_2069192,0,120,19,16260,82320,18,30.0,0.2,34,17.0,18.7,95.0,1047.5325489361702127869,20,NEW BRAUNFELS Frequent
14791,3_merged_2069192,1,120,19,16260,82320,18,17.0,9.6,63,26.1,7.3,37.0,1060.6839880283962567660,20,NEW BRAUNFELS Frequent
14792,1_merged_2069191,0,6,4,81000,90960,3,60.0,0.0,3,19.7,9.2,58.0,850.1589052631578946505,202,BLANCO  2-LU
14792,1_merged_2069191,1,6,4,81000,90960,3,60.0,0.0,3,20.2,8.0,50.3,850.1248351351351351174,202,BLANCO  2-LU
14792,2_merged_2069193,0,6,4,81000,90960,3,60.0,0.0,3,19.7,9.2,58.0,850.1589052631578946505,202,BLANCO  2-LU
14792,2_merged_2069193,1,6,4,81000,90960,3,60.0,0.0,3,20.2,8.0,50.3,850.1248351351351351174,202,BLANCO  2-LU
14792,3_merged_2069192,0,6,4,81000,90960,3,60.0,0.0,3,19.7,9.2,58.0,850.1589052631578946505,202,BLANCO  2-LU
14792,3_merged_2069192,1,6,4,81000,90960,3,60.0,0.0,3,20.2,8.0,50.3,850.1248351351351351174,202,BLANCO  2-LU
14793,1_merged_2069191,0,6,4,81000,90720,3,60.0,0.0,3,20.6,8.2,48.0,923.5177297872340426230,204,SAN PEDRO/MCCULLOUGH 4-5 LU
14793,1_merged_2069191,1,6,4,81000,90720,3,60.0,0.0,3,22.0,8.0,51.0,847.5391706666666665573,204,SAN PEDRO/MCCULLOUGH 4-5 LU
14793,2_merged_2069193,1,6,4,81000,90720,3,60.0,0.0,3,22.0,8.0,51.0,847.5391706666666665573,204,SAN PEDRO/MCCULLOUGH 4-5 LU
14793,2_merged_2069193,0,6,4,81000,90720,3,60.0,0.0,3,20.6,8.2,48.0,923.5177297872340426230,204,SAN PEDRO/MCCULLOUGH 4-5 LU
14793,3_merged_2069192,1,6,4,81000,90720,3,60.0,0.0,3,22.0,8.0,51.0,847.5391706666666665573,204,SAN PEDRO/MCCULLOUGH 4-5 LU
14793,3_merged_2069192,0,6,4,81000,90720,3,60.0,0.0,3,20.6,8.2,48.0,923.5177297872340426230,204,SAN PEDRO/MCCULLOUGH 4-5 LU
14794,1_merged_2069191,0,6,4,81000,91020,3,60.0,0.0,3,21.3,8.5,51.0,900.6016900000000000000,209,BROADWAY/NACOG. 9-10 LU
14794,1_merged_2069191,1,6,4,81000,91020,3,60.0,0.0,3,22.5,9.4,48.7,1012.0141251748251749789,209,BROADWAY/NACOG. 9-10 LU
14794,2_merged_2069193,1,6,4,81000,91020,3,60.0,0.0,3,22.5,9.4,48.7,1012.0141251748251749789,209,BROADWAY/NACOG. 9-10 LU
14794,2_merged_2069193,0,6,4,81000,91020,3,60.0,0.0,3,21.3,8.5,51.0,900.6016900000000000000,209,BROADWAY/NACOG. 9-10 LU
14794,3_merged_2069192,1,6,4,81000,91020,3,60.0,0.0,3,22.5,9.4,48.7,1012.0141251748251749789,209,BROADWAY/NACOG. 9-10 LU
14794,3_merged_2069192,0,6,4,81000,91020,3,60.0,0.0,3,21.3,8.5,51.0,900.6016900000000000000,209,BROADWAY/NACOG. 9-10 LU
14795,1_merged_2069191,0,58,19,16800,80700,18,37.2,13.2,28,24.0,25.2,74.2,1816.5660820400195218300,21,KIRBY / CONVERSE
14795,1_merged_2069191,1,58,19,16800,80700,18,34.5,16.6,29,22.4,24.9,77.7,1712.7482756298870548459,21,KIRBY / CONVERSE
14795,2_merged_2069193,0,37,19,17700,80640,17,56.3,9.7,18,26.0,26.7,78.4,1821.8976103374012922934,21,KIRBY / CONVERSE
14795,2_merged_2069193,1,37,19,17700,80640,17,55.8,7.5,18,25.0,25.8,80.8,1707.8268986156888595249,21,KIRBY / CONVERSE
14795,3_merged_2069192,0,36,18,18900,80640,17,56.4,9.2,18,26.2,25.8,75.7,1826.7189651041666665573,21,KIRBY / CONVERSE
14795,3_merged_2069192,1,36,18,18900,80640,17,55.0,7.8,18,24.9,26.7,83.3,1712.1504425775978408775,21,KIRBY / CONVERSE
14796,1_merged_2069191,0,6,4,81000,90600,3,60.0,0.0,3,25.6,12.0,53.0,1213.6734480769230768726,214,AUSTIN HWY/RAND. 14-17 LU
14796,1_merged_2069191,1,6,4,81000,90600,3,59.5,0.7,3,51.3,12.8,6.3,12690.0672437500000000000,214,AUSTIN HWY/RAND. 14-17 LU
14796,2_merged_2069193,1,6,4,81000,90600,3,59.5,0.7,3,51.3,12.8,6.3,12690.0672437500000000000,214,AUSTIN HWY/RAND. 14-17 LU
14796,2_merged_2069193,0,6,4,81000,90600,3,60.0,0.0,3,25.6,12.0,53.0,1213.6734480769230768726,214,AUSTIN HWY/RAND. 14-17 LU
14796,3_merged_2069192,0,6,4,81000,90600,3,60.0,0.0,3,25.6,12.0,53.0,1213.6734480769230768726,214,AUSTIN HWY/RAND. 14-17 LU
14796,3_merged_2069192,1,6,4,81000,90600,3,60.0,0.0,3,51.3,12.8,6.3,12690.0672437500000000000,214,AUSTIN HWY/RAND. 14-17 LU
14797,1_merged_2069191,0,90,18,19500,80400,17,22.4,8.2,45,10.6,5.0,35.0,781.9877500000000001351,22,HAYS Frequent
14797,1_merged_2069191,1,90,18,19500,80400,17,21.6,5.8,45,13.5,4.6,31.0,808.6899433333333334427,22,HAYS Frequent
14797,2_merged_2069193,0,73,17,21600,80100,16,26.3,10.6,37,11.3,5.0,35.1,781.6500765873015872443,22,HAYS Frequent
14797,2_merged_2069193,1,73,17,21600,80100,16,26.1,10.7,36,12.9,4.6,31.0,808.6899433333333334427,22,HAYS Frequent
14797,3_merged_2069192,1,58,17,21600,80520,16,32.8,9.5,29,12.8,4.6,31.0,808.6899433333333334427,22,HAYS Frequent
14797,3_merged_2069192,0,58,17,21600,80520,16,33.1,9.4,29,11.3,5.0,35.1,781.5571138663967611522,22,HAYS Frequent
14798,1_merged_2069191,0,6,4,81000,90780,3,60.0,0.0,3,17.5,4.4,30.0,797.7468655172413793556,222,HAYS/E.HOUSTON 22-24 LU
14798,1_merged_2069191,1,6,4,81000,90780,3,60.0,0.0,3,25.7,13.1,46.3,1524.7699625000000000772,222,HAYS/E.HOUSTON 22-24 LU
14798,2_merged_2069193,0,6,4,81000,90780,3,60.0,0.0,3,17.5,4.4,30.0,797.7468655172413793556,222,HAYS/E.HOUSTON 22-24 LU
14798,2_merged_2069193,1,6,4,81000,90780,3,60.0,0.0,3,25.7,13.1,46.3,1524.7699625000000000772,222,HAYS/E.HOUSTON 22-24 LU
14798,3_merged_2069192,1,6,4,81000,90780,3,60.0,0.0,3,25.7,13.1,46.3,1524.7699625000000000772,222,HAYS/E.HOUSTON 22-24 LU
14798,3_merged_2069192,0,6,4,81000,90780,3,60.0,0.0,3,17.5,4.4,30.0,797.7468655172413793556,222,HAYS/E.HOUSTON 22-24 LU
14799,1_merged_2069191,1,6,4,81000,90480,3,60.0,0.0,3,19.7,7.9,42.0,1022.4609642276422763214,225,E.COMMERCE/M.L. KING 25-26 LU
14799,1_merged_2069191,0,6,4,81000,90480,3,60.0,0.0,3,23.9,6.8,36.0,1019.8754142857142858549,225,E.COMMERCE/M.L. KING 25-26 LU
14799,2_merged_2069193,0,6,4,81000,90480,3,60.0,0.0,3,23.9,6.8,36.0,1019.8754142857142858549,225,E.COMMERCE/M.L. KING 25-26 LU
14799,2_merged_2069193,1,6,4,81000,90480,3,60.0,0.0,3,19.7,7.9,42.0,1022.4609642276422763214,225,E.COMMERCE/M.L. KING 25-26 LU
14799,3_merged_2069192,1,6,4,81000,90480,3,60.0,0.0,3,19.7,7.9,42.0,1022.4609642276422763214,225,E.COMMERCE/M.L. KING 25-26 LU
14799,3_merged_2069192,0,6,4,81000,90480,3,60.0,0.0,3,23.9,6.8,36.0,1019.8754142857142858549,225,E.COMMERCE/M.L. KING 25-26 LU
14800,1_merged_2069191,0,6,4,81000,91260,3,60.0,0.0,3,19.2,7.7,46.0,902.6103911111111110382,230,RIGSBY/PORTER 30-28 LU
14800,1_merged_2069191,1,6,4,81000,91260,3,60.0,0.0,3,25.0,12.3,60.3,1095.8208213483146067342,230,RIGSBY/PORTER 30-28 LU
14800,2_merged_2069193,0,6,4,81000,91260,3,60.0,0.0,3,19.2,7.7,46.0,902.6103911111111110382,230,RIGSBY/PORTER 30-28 LU
14800,2_merged_2069193,1,6,4,81000,91260,3,60.0,0.0,3,25.0,12.3,60.3,1095.8208213483146067342,230,RIGSBY/PORTER 30-28 LU
14800,3_merged_2069192,0,6,4,81000,91260,3,60.0,0.0,3,19.2,7.7,46.0,902.6103911111111110382,230,RIGSBY/PORTER 30-28 LU
14800,3_merged_2069192,1,6,4,81000,91260,3,59.5,0.7,3,25.0,12.3,60.3,1095.8208213483146067342,230,RIGSBY/PORTER 30-28 LU
14801,1_merged_2069191,1,6,4,81000,91260,3,60.0,0.0,3,21.4,8.7,55.7,835.6046798780487804718,232,STEVES AVE/S.ST.MARYS 32-34 LU
14801,1_merged_2069191,0,6,4,81000,91260,3,60.0,0.0,3,21.7,10.1,57.0,949.2987607142857141451,232,STEVES AVE/S.ST.MARYS 32-34 LU
14801,2_merged_2069193,1,6,4,81000,91260,3,60.0,0.0,3,21.4,8.7,55.7,835.6046798780487804718,232,STEVES AVE/S.ST.MARYS 32-34 LU
14801,2_merged_2069193,0,6,4,81000,91260,3,60.0,0.0,3,21.7,10.1,57.0,949.2987607142857141451,232,STEVES AVE/S.ST.MARYS 32-34 LU
14801,3_merged_2069192,1,6,4,81000,91260,3,60.0,0.0,3,21.4,8.7,55.7,835.6046798780487804718,232,STEVES AVE/S.ST.MARYS 32-34 LU
14801,3_merged_2069192,0,6,4,81000,91260,3,60.0,0.0,3,21.7,10.1,57.0,949.2987607142857141451,232,STEVES AVE/S.ST.MARYS 32-34 LU
14802,1_merged_2069191,1,126,19,14460,82260,19,16.5,5.3,61,15.8,7.2,35.5,1099.1204905848787446168,24,EAST HOUSTON Frequent
14802,1_merged_2069191,0,126,19,14460,82260,19,17.2,5.7,65,17.5,6.3,35.0,973.3365607692307690927,24,EAST HOUSTON Frequent
14802,2_merged_2069193,0,114,19,15600,82260,19,18.3,7.1,59,17.9,6.5,36.1,980.7535387143547608374,24,EAST HOUSTON Frequent
14802,2_merged_2069193,1,114,19,15600,82260,19,18.2,6.6,55,16.1,7.4,36.4,1103.2511789717223651364,24,EAST HOUSTON Frequent
14802,3_merged_2069192,0,109,19,15600,82260,19,19.6,8.5,56,17.9,6.6,36.4,982.4832766784452297527,24,EAST HOUSTON Frequent
14802,3_merged_2069192,1,109,19,15600,82260,19,19.3,6.8,53,16.1,7.5,36.8,1105.3388371248025275067,24,EAST HOUSTON Frequent
14803,1_merged_2069191,0,6,4,81000,90660,3,60.0,0.0,3,25.4,9.3,45.0,1119.3877181818181817287,242,ROOSEVELT/S. PRESA  42-36 LU
14803,1_merged_2069191,1,6,4,81000,90660,3,55.0,7.0,3,23.6,7.0,44.7,851.9304343511450383107,242,ROOSEVELT/S. PRESA  42-36 LU
14803,2_merged_2069193,0,6,4,81000,90660,3,60.0,0.0,3,25.4,9.3,45.0,1119.3877181818181817287,242,ROOSEVELT/S. PRESA  42-36 LU
14803,2_merged_2069193,1,6,4,81000,90660,3,55.0,7.0,3,23.6,7.0,44.7,851.9304343511450383107,242,ROOSEVELT/S. PRESA  42-36 LU
14803,3_merged_2069192,0,6,4,81000,90660,3,60.0,0.0,3,25.4,9.3,45.0,1119.3877181818181817287,242,ROOSEVELT/S. PRESA  42-36 LU
14803,3_merged_2069192,1,6,4,81000,90660,3,55.0,7.0,3,23.6,7.0,44.7,851.9304343511450383107,242,ROOSEVELT/S. PRESA  42-36 LU
14804,1_merged_2069191,0,6,4,81000,90780,3,60.0,0.0,3,23.9,9.6,55.0,934.8419629629629628779,243,S.FLORES/PLEAS. 43-44 LU
14804,1_merged_2069191,1,6,4,81000,90780,3,60.0,0.0,3,23.9,8.1,49.7,870.8380760273972602515,243,S.FLORES/PLEAS. 43-44 LU
14804,2_merged_2069193,1,6,4,81000,90780,3,60.0,0.0,3,23.9,8.1,49.7,870.8380760273972602515,243,S.FLORES/PLEAS. 43-44 LU
14804,2_merged_2069193,0,6,4,81000,90780,3,60.0,0.0,3,23.9,9.6,55.0,934.8419629629629628779,243,S.FLORES/PLEAS. 43-44 LU
14804,3_merged_2069192,0,6,4,81000,90780,3,60.0,0.0,3,23.9,9.6,55.0,934.8419629629629628779,243,S.FLORES/PLEAS. 43-44 LU
14804,3_merged_2069192,1,6,4,81000,90780,3,60.0,0.0,3,23.9,8.1,49.7,870.8380760273972602515,243,S.FLORES/PLEAS. 43-44 LU
14805,1_merged_2069191,0,6,4,81000,91020,3,60.0,0.0,3,23.6,13.8,71.0,1021.1268814285714286183,246,COMMERCIAL / IH35 S EXP. 46-48 LU
14805,1_merged_2069191,1,6,4,81000,91020,3,60.0,0.0,3,32.8,7.2,6.3,7175.3009250000000000000,246,COMMERCIAL / IH35 S EXP. 46-48 LU
14805,2_merged_2069193,1,6,4,81000,91020,3,60.0,0.0,3,32.8,7.2,6.3,7175.3009250000000000000,246,COMMERCIAL / IH35 S EXP. 46-48 LU
14805,2_merged_2069193,0,6,4,81000,91020,3,60.0,0.0,3,23.6,13.8,71.0,1021.1268814285714286183,246,COMMERCIAL / IH35 S EXP. 46-48 LU
14805,3_merged_2069192,1,6,4,81000,91020,3,60.0,0.0,3,32.8,7.2,6.3,7175.3009250000000000000,246,COMMERCIAL / IH35 S EXP. 46-48 LU
14805,3_merged_2069192,0,6,4,81000,91020,3,60.0,0.0,3,23.6,13.8,71.0,1021.1268814285714286183,246,COMMERCIAL / IH35 S EXP. 46-48 LU
14806,1_merged_2069191,1,123,19,14640,80640,18,17.2,6.9,63,18.9,7.4,43.2,918.6103357760240511054,25,E. COMMERCE Frequent
