stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10058,1_merged_2069188,0,1,15,UHR LN. & YEOMANS,29.564288,-98.397564
10118,1_merged_2069188,0,1,30,EXETER & AUSTIN HWY.,29.487214,-98.447356
10123,1_merged_2069188,1,1,15,EISENHAUER OPPOSITE HASKIN,29.495698,-98.446383
10125,1_merged_2069188,0,1,15,VANDIVER & KNIGHT ROBIN,29.497583,-98.442041
10143,1_merged_2069188,0,1,16,N. NEW BRAUNFELS & ELMVIEW,29.493209,-98.459335
10147,1_merged_2069188,1,2,59,BROADWAY & E FAIR OAKS PLACE,29.491836,-98.466472
10153,1_merged_2069188,0,2,31,BASSE & JONES-MALTSBERGER,29.497033,-98.478382
10158,1_merged_2069188,1,1,30,MCCULLOUGH BETW. REXFORD / RAMPART,29.513506,-98.491698
10167,1_merged_2069188,1,1,3,MCCULLOUGH & BIRCHLEAF,29.515184,-98.49176
10176,1_merged_2069188,1,1,15,BASSE & NACOGDOCHES,29.496519,-98.46842
10182,1_merged_2069188,1,1,15,N. NEW BRAUNFELS OPPOSITE ELMVIEW,29.493008,-98.459284
10188,1_merged_2069188,1,1,15,KENILWORTH & WOODCREST,29.503003,-98.450001
10208,1_merged_2069188,1,1,30,EXETER OPPOSITE BLAKELY,29.485869,-98.447263
10209,1_merged_2069188,0,1,17,EXETER & RITTIMAN,29.484736,-98.447365
10223,1_merged_2069188,0,2,51,SAN PEDRO OPP. NORTH PARK MERCURY,29.524665,-98.498911
10238,1_merged_2069188,0,1,17,RHAPSODY OPPOSITE 204 (RENDEZVOUS),29.543042,-98.493479
10239,1_merged_2069188,0,1,17,RHAPSODY IN FRONT OF 115,29.544465,-98.495365
10240,1_merged_2069188,0,1,17,RHAPSODY 500' SOUTH OF WARFIELD,29.545369,-98.496863
10242,1_merged_2069188,0,1,17,WARFIELD OPPOSITE RADIUM,29.548749,-98.496099
10244,1_merged_2069188,0,1,17,WARFIELD & NAKOMA,29.5509,-98.492768
10263,1_merged_2069188,0,1,14,HENDERSON PASS & ROCKAWAY,29.582104,-98.454997
10267,1_merged_2069188,0,1,14,HENDERSON PASS & CANYON LEDGE,29.59075,-98.448869
10268,1_merged_2069188,0,1,14,HENDERSON PASS BTW CYON LG/TKEY PT,29.59195,-98.450035
10273,1_merged_2069188,0,1,14,HENDERSON PASS AT NORTH WOODS CINEM,29.603913,-98.46459
10284,1_merged_2069188,0,1,15,UHR LN OPP TAMARRON,29.555443,-98.406436
10289,1_merged_2069188,1,1,16,HENDERSON PASS & THRASHER OAKS,29.599447,-98.457219
10294,1_merged_2069188,1,1,16,HENDERSON PASS OPP. COSTA DEL SOL A,29.589641,-98.448415
10297,1_merged_2069188,1,1,16,HENDERSON PASS & BLUFFRIDGE,29.583836,-98.453449
10300,1_merged_2069188,1,1,16,SHADOW CLIFF & ELKTON,29.582213,-98.459963
10308,1_merged_2069188,1,1,16,HEIMER OPPOSITE CROSS CANYON,29.570413,-98.473102
10310,1_merged_2069188,1,1,16,HEIMER OPPOSITE COKER ELEMENTARY SC,29.566859,-98.476662
10311,1_merged_2069188,1,1,16,HEIMER & BITTERS,29.563945,-98.479572
10320,1_merged_2069188,1,1,19,RHAPSODY IN FRONT OF 222,29.546812,-98.497823
10338,1_merged_2069188,1,1,30,RECTOR OPPOSITE NORTH STAR SQ.,29.51698,-98.492617
10351,1_merged_2069188,0,1,17,STARCREST OPPOSITE 3622,29.517771,-98.422878
10355,1_merged_2069188,1,1,18,HIDDEN RD. & CARRIAGE,29.519829,-98.426322
10357,1_merged_2069188,1,1,18,VILLAGE DR. & N.E. LOOP 410 W,29.516383,-98.42718
10360,1_merged_2069188,1,1,18,HARRY WURZBACH OPP. CRIPPLE CREEK,29.513726,-98.436403
10361,1_merged_2069188,1,1,18,HARRY WURZBACH OPP. GARNER M.SCHOOL,29.511127,-98.434898
10370,1_merged_2069188,1,1,34,MARTIN LUTHER KING & IH-10 E,29.412936,-98.430945
10371,1_merged_2069188,1,1,34,MARTIN LUTHER KING & LONE OA,29.413416,-98.428559
10372,1_merged_2069188,1,1,34,MARTIN LUTHER KING OPPOSITE BA,29.413416,-98.42689
10390,1_merged_2069188,1,1,29,OLD SEGUIN RD. OPPOSITE KIRBY JHS,29.469048,-98.385504
10405,1_merged_2069188,1,1,27,SPRIGGSDALE & COMO,29.41768,-98.439241
10406,1_merged_2069188,1,1,30,MCCULLOUGH & ANNIE,29.468188,-98.491741
10410,1_merged_2069188,1,1,30,MCCULLOUGH & BRITTANY,29.476396,-98.491646
10427,1_merged_2069188,0,1,34,MARTIN LUTHER KING & UPLAND,29.413652,-98.413003
10428,1_merged_2069188,1,1,3,MARTIN LUTHER KING OPPOSITE HE,29.413463,-98.414003
