route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1,1,0,66,21,19080,90534,20,35.2,10.1,33,18.6,10.4,53.7,1026.1764274870615296234,10A,
1,1,1,66,21,19080,90534,20,35.0,9.4,33,17.7,10.7,54.0,1053.7519603773584905908,10A,
100,1,0,159,22,17406,90054,20,14.2,7.8,159,13.8,6.1,30.0,335.1944901639344261811,74,
100,1,1,159,22,17406,90054,20,22.7,1.9,53,15.4,4.3,19.0,1222.5735111111111110382,74,
102,1,0,40,22,24546,100494,21,35.5,16.1,33,21.1,13.0,33.7,1931.3883467532467531104,7A,
102,1,1,40,22,24546,100494,21,63.1,10.4,20,26.0,11.7,29.0,2148.7972071428571427634,7A,
106,1,0,28,17,22806,83376,17,32.5,12.0,28,21.0,16.9,47.5,1751.3159937333333334427,7F,
106,1,1,28,17,22806,83376,17,64.9,2.4,13,23.7,12.8,36.0,1899.6615028571428572366,7F,
11,1,0,71,19,19806,82848,18,28.5,5.3,37,23.0,16.3,65.1,1329.6588622681281619894,16B,
11,1,1,71,19,19806,82848,18,30.2,1.1,34,23.7,18.8,70.1,1420.4273091102596850106,16B,
113,1,0,91,23,17340,94200,21,26.9,2.7,46,13.8,12.1,67.2,949.5685791858174655626,80,
113,1,1,91,23,17340,94200,21,26.8,2.0,45,14.0,12.6,67.8,993.4470699933466399849,80,
115,1,0,31,10,20220,93534,20,32.1,8.0,15,19.3,3.1,15.0,1166.0674000000000000000,82,
115,1,1,31,10,20220,93534,20,34.1,12.4,16,19.3,3.1,14.0,1267.2736307692307693822,82,
116,1,0,29,16,26820,80100,15,60.0,1.4,14,22.2,18.2,61.0,1601.5271883333333334427,83,
116,1,1,29,16,26820,80100,15,60.0,0.7,15,22.0,18.4,58.0,1699.7824894736842103709,83,
117,1,0,22,11,28800,68100,11,60.1,0.3,11,20.4,15.3,73.0,1121.4230152777777779236,84,
117,1,1,22,11,28800,68100,11,60.0,0.4,11,21.4,15.8,71.0,1194.0027714285714286183,84,
118,1,0,23,13,30000,72900,12,60.0,0.9,12,21.9,23.2,76.0,1616.2118506666666665573,86,
118,1,1,23,13,30000,72900,12,59.9,0.9,11,21.8,22.0,76.0,1533.9243706666666665573,86,
127,1,0,79,19,26400,90714,18,25.3,3.5,40,11.9,10.3,48.0,1160.0010404255319147540,90,
127,1,1,79,19,26400,90714,18,25.4,2.7,39,13.2,10.5,49.0,1155.0828854166666665573,90,
128,1,0,103,24,14940,100068,24,26.5,4.4,53,13.8,13.1,63.4,1106.6189748941318814549,92,
128,1,1,103,24,14940,100068,24,26.9,5.1,50,14.5,13.7,67.8,1084.0295275531596285593,92,
129,1,0,22,10,15960,98448,23,28.7,4.9,12,17.1,12.0,61.3,1049.3999410788381744100,93,
129,1,1,22,10,15960,98448,23,32.7,9.3,10,17.1,12.7,62.9,1082.7379507269789983723,93,
13,1,0,16,5,83022,100506,5,31.6,5.4,7,21.1,9.3,36.0,1361.9993457142857141451,16E,
13,1,1,16,5,83022,100506,5,33.0,15.5,9,26.2,11.1,41.0,1377.6836975000000000000,16E,
130,1,0,111,19,23832,89322,18,14.2,8.1,111,13.2,3.8,27.0,235.5200849056603773523,94,
130,1,1,111,19,23832,89322,18,29.7,1.3,37,15.0,2.7,20.0,760.5876052631578946505,94,
131,1,0,87,24,17826,100080,23,30.9,3.6,44,17.0,17.2,79.3,1152.1789765389082462398,96,
131,1,1,87,24,17826,100080,23,30.4,2.2,43,16.5,17.4,80.9,1147.4527410891089109316,96,
133,1,0,77,21,19440,92868,20,31.6,7.5,39,20.2,9.8,30.8,1700.8930080964685614783,9A,
133,1,1,77,21,19440,92868,20,31.5,6.2,38,18.8,9.9,37.0,1421.8395777777777779236,9A,
136,1,1,1,2,21000,24942,1,,,1,27.3,29.8,108.0,1461.7100308411214953547,A11,
137,1,0,47,19,22200,86700,18,44.7,8.6,24,23.1,18.3,60.0,1615.3920084745762712921,A12,
137,1,1,47,19,22200,86700,18,43.8,8.4,23,20.7,17.8,63.0,1505.4445145161290323004,A12,
138,1,0,81,20,19200,92460,20,26.5,8.1,41,15.5,7.0,41.6,906.7292777177177177256,A2,
138,1,1,81,20,19200,92460,20,23.2,3.0,72,15.4,7.0,41.6,889.9435120772946861108,A2,
139,1,0,94,23,19980,98070,22,25.9,2.8,45,22.1,8.4,44.4,1017.4592785860655738189,A4,
139,1,1,94,23,19980,98070,22,26.4,3.2,49,21.7,7.8,40.2,1050.0207039603960396267,A4,
140,1,0,15,8,16626,90660,21,26.6,1.8,7,18.5,13.3,63.9,1112.6482459090909089716,A42,
140,1,1,15,8,16626,90660,21,30.8,11.1,8,19.1,13.0,65.9,1054.7403516377649326467,A42,
141,1,0,18,9,13926,96774,23,23.7,14.3,14,19.7,12.6,59.4,1133.5448054263565891422,A46,
141,1,1,18,9,13926,96774,23,34.0,9.1,7,19.1,11.5,60.0,1026.4413864406779661295,A46,
142,1,0,20,9,15906,99360,23,26.5,2.8,8,20.5,11.7,48.0,1295.9443888297872340984,A48,
142,1,1,20,9,15906,99360,23,28.5,7.3,12,20.6,12.4,55.0,1209.5467259259259260839,A48,
144,1,0,83,22,22440,97920,21,25.8,6.1,43,14.1,5.4,33.0,890.2173250000000000000,A6,
144,1,1,83,22,22440,97920,21,24.9,2.2,40,14.9,5.7,35.0,890.9362499999999999035,A6,
146,1,0,80,19,18180,89280,20,24.8,1.9,40,17.1,4.8,26.0,1014.9314160000000000000,A8,
