stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,1,0,1,15,14TH AV & LANGLEY WY,38.990479,-76.984519
10001,1,0,1,33,N FAIRFAX DR & N TAYLOR ST,38.882019,-77.112932
10002,1,0,2,52,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528
10002,1,1,5,80,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528
10003,1,0,2,46,N FAIRFAX DR & N VERMONT ST,38.881964,-77.114598
10003,1,1,1,13,N FAIRFAX DR & N VERMONT ST,38.881964,-77.114598
10004,1,0,2,52,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056
10004,1,1,5,80,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056
10007,1,1,2,36,QUAKER LA & 32ND RD,38.836394,-77.08495
10014,1,0,2,4,S 7TH RD & FLORIDA ST,38.85868,-77.118727
10014,1,1,2,63,S 7TH RD & FLORIDA ST,38.85868,-77.118727
10020,1,0,2,4,S DINWIDDIE ST & S 9TH ST,38.856672,-77.112826
10020,1,1,2,63,S DINWIDDIE ST & S 9TH ST,38.856672,-77.112826
10024,1,1,1,29,S JEFFERSON ST & COLUMBIA PI,38.852767,-77.120117
1003,1,0,1,15,CHILLUM RD & 16TH AV,38.956215,-76.98253
10049,1,1,1,31,TYSONS II-GALLERIA SC,38.922488,-77.220552
10055,1,1,1,29,FRONT OF GOODWIN HOUSE - JEFFERSON ST,38.850851,-77.118662
10056,1,1,3,47,N BEAUREGARD ST & FILLMORE AV,38.837125,-77.114242
10059,1,1,1,33,FILLMORE AV & N BEAUREGARD ST,38.837416,-77.114632
1007,1,1,1,14,CHILLUM RD & RIGGS RD,38.961717,-76.993534
101,1,0,1,15,38TH ST & PERRY ST,38.93774,-76.954178
101,1,1,2,37,38TH ST & PERRY ST,38.93774,-76.954178
1010,1,0,1,24,CHILLUM RD & EASTERN AV,38.956122,-76.990414
1011,1,1,1,14,CHILLUM RD & LONGFORD DR,38.954368,-76.979423
10111,1,0,1,18,TEMPLE HILL RD & CARLTON AVE,38.822164,-76.949824
1012,1,1,1,14,CHILLUM RD & 18TH AV,38.954943,-76.980515
10127,1,0,1,23,S FOUR MILE RUN DR & S GEORGE MASON DR,38.852474,-77.102871
10132,1,0,1,23,S FOUR MILE RUN DR & S WALTER REED DR,38.847311,-77.095375
10141,1,1,1,12,NORTHVIEW DR & ENFIELD DR,38.939296,-76.742067
102,1,0,2,37,38TH ST & PERRY ST,38.937696,-76.954474
102,1,1,1,15,38TH ST & PERRY ST,38.937696,-76.954474
1020,1,1,1,14,CHILLUM RD & EASTERN AV,38.964902,-77.00095
1023,1,1,1,16,CIPRIANO RD & 5TH ST,38.970667,-76.8587
1024,1,0,1,16,CIPRIANO RD & 3RD ST,38.972445,-76.857836
10245,1,0,1,16,PRINCESS GARDEN PW & ANNAPOLIS RD,38.962526,-76.863871
1025,1,1,1,16,CIPRIANO RD & WELLINGTON PL,38.975147,-76.855268
10254,1,0,1,16,LEESBURG TP & SPRING HILL RD,38.928302,-77.241337
10256,1,0,1,16,ORA GLEN DR & MORRISON DR,38.989175,-76.866884
10260,1,0,1,33,PATRIOT DR & FOREST GLEN CT,38.828548,-77.213093
10261,1,1,1,16,ORA GLEN DR & MORRISON DR,38.989186,-76.867307
10270,1,0,1,16,ORA GLEN DR & MANDAN RD,38.988868,-76.865101
10275,1,1,1,16,MANDAN RD & CANNING TE,38.990452,-76.864318
1029,1,0,1,16,CIPRIANO RD & HICKORY HILLS AV,38.97096,-76.858801
10291,1,0,2,74,W UNIVERSITY BV & AMHERST AV,39.040618,-77.048338
1030,1,1,1,16,CIPRIANO RD & 3RD ST,38.972725,-76.857387
10307,1,1,1,16,PRINCESS GARDEN PW & WOODBURN CT,38.973333,-76.865932
10319,1,0,1,16,GALLOWS RD & PRESCOTT LA,38.87826,-77.227714
10325,1,0,2,63,MARYLAND AV & 6TH ST,38.894422,-76.997221
10331,1,0,1,32,CHERRYWOOD LA & CHERRYWOOD CT,39.004904,-76.907625
10331,1,1,1,16,CHERRYWOOD LA & CHERRYWOOD CT,39.004904,-76.907625
1035,1,0,1,18,COLEBROOKE DR & FAIRLAWN ST,38.841145,-76.949125
10368,1,0,2,51,GALLOWS RD & ARLINGTON BV,38.864254,-77.228021
10368,1,1,2,47,GALLOWS RD & ARLINGTON BV,38.864254,-77.228021
1037,1,0,1,18,COLEBROOKE DR & 28TH PW,38.839416,-76.951638
10376,1,1,5,151,NAYLOR RD & 25TH ST SE,38.861248,-76.968983
1040,1,1,1,17,COLEBROOKE DR & 26TH AV,38.837917,-76.953767
1041,1,0,1,18,COLEBROOKE DR & 25TH AV,38.837101,-76.955035
10429,1,1,1,31,N GLEBE RD & N 24TH ST,38.900039,-77.125573
10433,1,1,1,31,N GLEBE RD & N 19TH ST,38.893054,-77.119568
10440,1,0,1,39,N GLEBE RD & WASHINGTON BV,38.884831,-77.116756
10440,1,1,1,31,N GLEBE RD & WASHINGTON BV,38.884831,-77.116756
10446,1,0,1,13,N GLEBE RD & WILSON BV,38.879622,-77.11349
10446,1,1,1,14,N GLEBE RD & WILSON BV,38.879622,-77.11349
10447,1,0,1,13,N GLEBE RD & N 7TH ST,38.878662,-77.112112
10447,1,1,1,14,N GLEBE RD & N 7TH ST,38.878662,-77.112112
1045,1,1,1,58,COLESVILLE RD & SPRING ST,38.998494,-77.026596
10451,1,0,1,33,N GLEBE RD & N 4TH ST,38.875528,-77.107653
10451,1,1,1,32,N GLEBE RD & N 4TH ST,38.875528,-77.107653
10453,1,0,1,33,N GLEBE RD & N 3RD RD,38.874697,-77.106491
10453,1,1,1,32,N GLEBE RD & N 3RD RD,38.874697,-77.106491
10455,1,0,1,17,N GLEBE RD & N PERSHING DR,38.873596,-77.105473
10458,1,0,1,33,N GLEBE RD & N CATHEDRAL LA,38.871831,-77.10217
10458,1,1,1,31,N GLEBE RD & N CATHEDRAL LA,38.871831,-77.10217
10459,1,0,1,33,N GLEBE RD & N CATHEDRAL LA,38.871431,-77.101939
10459,1,1,1,32,N GLEBE RD & N CATHEDRAL LA,38.871431,-77.101939
10476,1,1,2,37,SE MISSISSIPPI AVE & SE 10TH PL,38.839093,-76.991636
10481,1,0,1,33,N GLEBE RD & N 17TH ST,38.891501,-77.119475
10482,1,0,1,33,N GLEBE RD & N 19TH ST,38.89306,-77.119818
10483,1,1,1,31,N GLEBE RD & N WOODLEY ST,38.894885,-77.121394
10484,1,1,1,31,N GLEBE RD & N 21ST ST,38.895891,-77.122142
10488,1,0,1,33,N GLEBE RD & N 25TH ST,38.901571,-77.127079
10490,1,0,3,18,HIL MAR DR & DYNASTY DR,38.844826,-76.90399
105,1,1,1,15,38TH ST & RHODE ISLAND AV,38.939414,-76.955301
1050,1,0,1,58,COLESVILLE RD & SLIGO CREEK PW,39.007822,-77.019609
10506,1,1,1,31,S GLEBE RD & S OLD GLEBE RD,38.867619,-77.096342
1051,1,0,1,58,COLESVILLE RD & FRANKLIN AV,39.008505,-77.018531
10513,1,1,1,31,S GLEBE RD & S 14TH ST,38.857751,-77.090263
10515,1,1,1,31,S GLEBE RD & S 16TH ST,38.85611,-77.089105
10517,1,0,2,51,PENNSYLVANIA AVE & O ST,38.873207,-76.969629
10517,1,1,3,40,PENNSYLVANIA AVE & O ST,38.873207,-76.969629
10521,1,0,1,33,S GLEBE RD & S TROY ST,38.844305,-77.071506
1053,1,0,1,58,COLESVILLE RD & INDIAN SPRING DR,39.012248,-77.016719
10531,1,0,1,37,BRANCH AVE & CAMDEN ST,38.859563,-76.958995
10536,1,1,1,31,S GLEBE RD & S TROY ST,38.844541,-77.071468
10537,1,1,1,31,S GLEBE RD & S WAYNE ST,38.844182,-77.074678
10542,1,0,1,33,S GLEBE RD & S 16TH ST,38.856307,-77.089472
10543,1,0,1,33,S GLEBE RD & S 14TH ST,38.857762,-77.090544
10545,1,1,1,31,S GLEBE RD & COLUMBIA PI,38.861791,-77.091879
10546,1,1,1,31,S GLEBE RD & S 9TH ST,38.862958,-77.091991
1055,1,0,1,58,COLESVILLE RD & LANARK WY,39.018767,-77.013909
10565,1,1,3,72,GLEN CARLYN DR & VISTA DR,38.85263,-77.140597
10567,1,0,3,72,GLEN CARLYN DR & BELLEVIEW DR,38.853814,-77.140094
10569,1,1,3,72,GLEN CARLYN DR & ARGYLE DR,38.854762,-77.140153
10582,1,1,3,72,GLEN CARLYN DR & BELLEVIEW DR,38.853951,-77.14037
1059,1,0,1,58,COLESVILLE RD & CRESTMOOR DR,39.027807,-77.009261
10591,1,0,1,16,MAGARITY ROAD & KENNEDY DR,38.913982,-77.212555
106,1,1,1,11,38TH ST & BUNKER HILL RD,38.939406,-76.956066
1060,1,0,2,128,COLESVILLE RD & 16TH ST,38.992419,-77.035297
10604,1,1,1,17,GOSNELL RD & TYSPRING ST,38.921967,-77.238587
10633,1,0,1,16,ST BARNABAS RD & CAREYHURST DR,38.801853,-76.977796
1064,1,0,1,58,COLESVILLE RD & SPRING ST,38.998755,-77.026148
10643,1,0,1,16,GRIFFITH RD & PIMMIT DR,38.907663,-77.19799
10644,1,1,1,15,GRIFFITH RD & CHERRI DR,38.909025,-77.19875
10647,1,0,1,16,GRIFFITH RD & FISHER DR,38.914489,-77.202541
10648,1,1,1,15,GRIFFITH RD & LISLE AV,38.915497,-77.204794
1065,1,0,1,58,COLESVILLE RD & NOYES DR,38.999834,-77.025686
10650,1,1,1,15,GRIFFITH RD & PEABODY DR,38.914376,-77.2022
1067,1,1,1,58,COLESVILLE RD & ROWEN RD,39.00415,-77.023807
10689,1,0,1,17,N HENDERSON RD & N 3RD ST,38.871055,-77.11182
10692,1,0,1,33,HERITAGE DR & AMERICANA DR,38.832116,-77.210665
1072,1,1,1,58,COLESVILLE RD & INDIAN SPRING DR,39.012333,-77.017049
10746,1,1,1,31,WILLIAMSBURG BV & OLD DOMINION DR,38.910233,-77.138904
1078,1,0,1,58,COLESVILLE RD & SOUTHWOOD AV,39.025853,-77.010696
10782,1,0,1,39,HUNTINGTON AV & BISCAYNE DR,38.794846,-77.072351
10788,1,1,1,38,HUNTINGTON AV & FOLEY ST,38.791453,-77.066341
1079,1,1,1,58,COLESVILLE RD & CRESTMOOR DR,39.028106,-77.009345
10793,1,0,1,46,4TH ST & GALLOWAY ST NE,38.952636,-76.998808
10793,1,1,1,7,4TH ST & GALLOWAY ST NE,38.952636,-76.998808
10797,1,0,2,54,SE WHEELER RD & MISSISSIPPI AV,38.838652,-76.993469
10797,1,1,2,37,SE WHEELER RD & MISSISSIPPI AV,38.838652,-76.993469
108,1,0,1,12,38TH ST & SHEPHERD ST,38.940362,-76.956168
1080,1,0,1,4,13TH ST & M ST,38.90555,-77.029495
10875,1,0,1,40,ELVANS RD & STANTON RD,38.85409,-76.987001
10875,1,1,1,40,ELVANS RD & STANTON RD,38.85409,-76.987001
10890,1,1,1,33,PENTAGON CITY MALL (15TH & JOYCE STS),38.861497,-77.063318
10898,1,0,1,16,JERMANTOWN RD (AT&T BUILDING DRIVEWAY),38.875793,-77.303535
10899,1,0,1,13,HARRY S TRUMAN DR & WOODLAWN BV,38.874637,-76.826678
10899,1,1,1,14,HARRY S TRUMAN DR & WOODLAWN BV,38.874637,-76.826678
10902,1,1,1,16,JERMANTOWN RD & GAINSBOROUGH CT,38.861747,-77.327005
10903,1,0,1,16,JERMANTOWN RD & TREVOR HOUSE DR,38.875952,-77.297937
10912,1,0,1,13,MT LUBENTIA WY & DARIEN PL,38.879353,-76.820599
10914,1,1,1,16,JERMANTOWN RD & BORGE ST,38.875349,-77.30035
10915,1,1,1,14,MT LUBENTIA WY & DARIEN PL,38.879611,-76.820756
10919,1,1,1,14,MT LUBENTIA WY & DWYER PL,38.878649,-76.812542
10922,1,0,1,33,S KENMORE ST & S 19TH ST,38.853167,-77.087866
10922,1,1,1,32,S KENMORE ST & S 19TH ST,38.853167,-77.087866
10923,1,1,1,11,BRIGHTSEAT RD & LANDOVER RD,38.916991,-76.860476
10926,1,0,1,33,S KENMORE ST & S 22ND ST,38.849725,-77.08545
10926,1,1,1,31,S KENMORE ST & S 22ND ST,38.849725,-77.08545
10927,1,0,1,33,S KENMORE ST & S 24TH ST,38.848254,-77.084607
10927,1,1,1,31,S KENMORE ST & S 24TH ST,38.848254,-77.084607
10928,1,0,1,33,S KENMORE ST & S 24TH ST,38.848561,-77.084962
10928,1,1,1,32,S KENMORE ST & S 24TH ST,38.848561,-77.084962
10932,1,0,2,58,SE 53RD ST & SE E ST,38.882277,-76.926628
10933,1,0,2,58,SE 53RD ST & SE D ST,38.883225,-76.926421
10934,1,0,2,58,SE 53RD ST & SE C ST,38.884551,-76.926136
10936,1,0,2,58,SE 53RD ST & CENTRAL AV,38.887275,-76.925539
10941,1,1,1,38,HUNTINGTON AV & OLD RICHMOND HW,38.790374,-77.064622
10943,1,0,2,56,SE TEXAS AV & SE B ST,38.887398,-76.940292
10945,1,0,2,56,SE TEXAS AV & SE DUBOIS PL,38.885582,-76.940565
1096,1,0,1,30,RANDOLPH RD & TRIVOLI LAKE BV,39.065689,-77.034864
10970,1,1,1,31,ARLINGTON BV & ALLEN ST,38.866233,-77.200094
10972,1,1,1,31,ARLINGTON BV & GRAHAM RD,38.866463,-77.194672
10975,1,0,1,11,ARLINGTON BV & PERSHING DR,38.881682,-77.084092
10977,1,1,3,72,LAKE ST & KNOLLWOOD DR,38.850043,-77.138781
10982,1,0,1,33,N PERSHING DR & N GLEBE RD,38.873475,-77.104792
10982,1,1,1,32,N PERSHING DR & N GLEBE RD,38.873475,-77.104792
11,1,1,1,15,14TH AV & KANAWHA ST,38.98832,-76.983581
11055,1,1,1,17,LEESBURG TP & TYCO RD,38.930703,-77.241822
11059,1,1,5,64,N WASHINGTON ST & GREAT FALLS ST,38.883861,-77.169044
11060,1,0,4,52,N WASHINGTON ST & PARK AV,38.883061,-77.169972
11064,1,0,3,37,WASHINGTON ST & CAVALIER TR,38.879147,-77.17879
11065,1,1,3,35,WASHINGTON ST & WESTMORELAND RD,38.879197,-77.180863
11067,1,0,3,37,WASHINGTON ST & W MARSHALL ST,38.878778,-77.184761
11068,1,1,3,35,WASHINGTON ST & JACKSON ST,38.87889,-77.18628
111,1,0,1,12,38TH AV & VOLTA ST,38.944497,-76.956534
11140,1,1,3,35,WASHINGTON ST & HILLWOOD AV,38.880252,-77.174395
11145,1,1,5,64,N WASHINGTON ST & E COLUMBIA ST,38.885151,-77.166276
11146,1,1,5,64,N WASHINGTON ST & JEFFERSON ST,38.885546,-77.165187
11204,1,0,2,61,LINCOLNIA RD & QUANTRELL AV,38.818165,-77.136181
11204,1,1,2,33,LINCOLNIA RD & QUANTRELL AV,38.818165,-77.136181
11208,1,1,1,15,LISLE AV & WARE RD,38.914154,-77.207246
11211,1,0,1,16,LISLE AV & GRIFFITH RD,38.915451,-77.205073
11233,1,0,2,36,N LIVINGSTON ST & WILSON BV,38.873513,-77.140331
11262,1,0,1,33,MARTHA CUSTIS DR @ GUNSTON RD,38.840586,-77.083094
11262,1,1,1,33,MARTHA CUSTIS DR @ GUNSTON RD,38.840586,-77.083094
11270,1,0,1,33,3700 MARTHA CUSTIS DR @ GUNSTON RD,38.840608,-77.083288
11270,1,1,1,31,3700 MARTHA CUSTIS DR @ GUNSTON RD,38.840608,-77.083288
11272,1,0,1,33,MARTHA CUSTIS DR (PARC EAST APTS #1225),38.842214,-77.080498
11272,1,1,1,31,MARTHA CUSTIS DR (PARC EAST APTS #1225),38.842214,-77.080498
113,1,0,1,12,38TH ST & WINDOM RD,38.946912,-76.956734
11321,1,0,1,30,RANDOLPH RD & VITAL WY,39.075036,-77.004454
11326,1,0,2,54,SE 6TH ST & SE SOUTHERN AVE,38.82278,-76.999208
11326,1,1,2,35,SE 6TH ST & SE SOUTHERN AVE,38.82278,-76.999208
11342,1,0,1,15,MORGAN ST & BEAUREGARD ST,38.825186,-77.13267
11400,1,1,1,31,OLD DOMINION DR & KIRBY RD,38.920772,-77.15209
11401,1,0,2,51,GALLOWS RD & WILLOW OAKS CORPORATE DR,38.862903,-77.227438
11401,1,1,2,47,GALLOWS RD & WILLOW OAKS CORPORATE DR,38.862903,-77.227438
11411,1,1,1,39,WILSON BV & HERNDON ST,38.887272,-77.095391
11416,1,1,1,31,OLD DOMINION DR & N GLEBE RD,38.904687,-77.129432
11417,1,1,1,31,OLD DOMINION DR & N ROCK SPRING RD,38.907644,-77.132572
11420,1,1,1,31,OLD DOMINION DR & N DINWIDDIE ST,38.91054,-77.14009
11423,1,1,1,31,OLD DOMINION DR & FRANKLIN PARK RD,38.915492,-77.148398
11429,1,1,1,31,OLD DOMINION DR & LINWAY TE,38.924184,-77.161253
11431,1,1,1,31,OLD DOMINION DR & 6TH PL,38.926384,-77.165739
11435,1,0,1,33,OLD DOMINION DR & CORNER LA,38.931794,-77.17414
11444,1,0,1,33,OLD DOMINION DR & 6TH PL,38.926464,-77.165896
11448,1,1,1,31,OLD DOMINION DR & VALLEY AV,38.923762,-77.157563
11449,1,0,1,4,NW SHERMAN AV & NW LAMONT ST,38.930711,-77.026403
11451,1,0,1,4,NW SHERMAN AV & NW GIRARD ST,38.925729,-77.025658
11459,1,0,1,33,OLD DOMINION DR & N ROCK SPRING RD,38.907863,-77.132904
11460,1,0,1,33,OLD DOMINION DR & N 29TH ST,38.905394,-77.130983
11473,1,0,1,11,85TH AV & LONGFELLOW ST,38.959572,-76.87006
11498,1,1,1,11,85TH AV & LEGATION RD,38.960769,-76.869819
115,1,1,1,11,38TH ST & ALLISON ST,38.948038,-76.95664
11518,1,0,1,98,NW 9TH ST & NW F ST,38.897537,-77.024052
11519,1,1,1,16,N PARK DR & N 2ND ST,38.869987,-77.114501
11520,1,0,1,17,TERMINAL;N PARK DR & N 1ST ST,38.867649,-77.11591
11544,1,1,4,63,PATRICK HENRY DR & BROOK DR,38.866846,-77.148186
11548,1,0,2,36,PATRICK HENRY DR & WILLSTON DR,38.870924,-77.146501
11549,1,1,4,63,PATRICK HENRY DR & ARLINGTON BV,38.868085,-77.147288
11551,1,0,4,64,PATRICK HENRY DR & BROOK DR,38.867052,-77.14767
11554,1,0,1,15,PENDLETON ST & ROYAL ST,38.810279,-77.042579
11555,1,0,1,15,PENDLETON ST & ST ASAPH ST,38.810561,-77.044759
11558,1,0,2,66,PENDLETON ST & HENRY ST,38.811345,-77.049921
11562,1,0,2,63,PENDLETON ST & COLUMBUS ST,38.810931,-77.046709
11569,1,0,1,17,N PERSHING DR & N EDGEWOOD ST,38.880181,-77.091613
11570,1,1,1,16,N PERSHING DR & N GARFIELD ST,38.879643,-77.093088
11576,1,0,1,33,N PERSHING DR & N GLEBE RD,38.873804,-77.104943
11576,1,1,1,31,N PERSHING DR & N GLEBE RD,38.873804,-77.104943
