route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
73,1,1,1,29.9,2.3,WISCONSIN AVE NW & RIVER RD NW,38.949019,-77.080369,31,
74,1,1,0,34.2,12.8,WISCONSIN AVE NW & RIVER RD NW,38.949019,-77.080369,32,
76,1,1,0,33.9,12.6,WISCONSIN AVE NW & RIVER RD NW,38.949019,-77.080369,36,
197,10,1,0,62.9,2.6,14TH AV & LANGLEY WY,38.990479,-76.984519,F8,
48,10001,1,0,33.9,9.9,N FAIRFAX DR & N TAYLOR ST,38.882019,-77.112932,23A,
48,10002,1,1,32.2,5.6,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,23A,
51,10002,1,0,65.1,2.5,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,25A,
52,10002,1,1,64.5,5.1,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,25B,
68,10002,1,1,65.0,0.0,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,2A,
69,10002,1,1,60.6,2.5,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,2B,
70,10002,1,1,60.0,0.0,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,2C,
78,10002,1,0,30.1,1.2,N FAIRFAX DR & N TAYLOR ST,38.882277,-77.112528,38B,
48,10003,1,0,33.9,9.9,N FAIRFAX DR & N VERMONT ST,38.881964,-77.114598,23A,
51,10003,1,1,64.3,2.7,N FAIRFAX DR & N VERMONT ST,38.881964,-77.114598,25A,
52,10003,1,0,64.0,4.3,N FAIRFAX DR & N VERMONT ST,38.881964,-77.114598,25B,
48,10004,1,1,32.2,5.5,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,23A,
51,10004,1,0,65.0,2.5,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,25A,
52,10004,1,1,64.5,5.1,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,25B,
68,10004,1,1,65.0,0.0,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,2A,
69,10004,1,1,60.6,2.3,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,2B,
70,10004,1,1,60.0,0.0,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,2C,
78,10004,1,0,30.1,1.2,N FAIRFAX DR & N VERMONT ST,38.882255,-77.114056,38B,
46,10007,1,1,40.0,0.4,QUAKER LA & 32ND RD,38.836394,-77.08495,22A,
51,10007,1,1,64.1,2.5,QUAKER LA & 32ND RD,38.836394,-77.08495,25A,
194,1001,1,0,60.2,0.9,CHILLUM RD & LONGFORD DR,38.954371,-76.978997,F2,
15,10012,1,0,,,S GREENBRIER ST & S 7TH RD,38.857173,-77.119168,16G,
15,10012,1,1,15.7,3.2,S GREENBRIER ST & S 7TH RD,38.857173,-77.119168,16G,
18,10012,1,0,30.0,,S GREENBRIER ST & S 7TH RD,38.857173,-77.119168,16K,
