table_name,column_name,active_field
DBNAME,wmata_subway,0
agency,agency_id,2
agency,agency_name,2
agency,agency_url,2
agency,agency_timezone,2
agency,agency_lang,2
agency,agency_phone,2
agency,agency_fare_url,0
stops,stop_id,86
stops,stop_code,0
stops,stop_name,86
stops,stop_desc,0
stops,stop_lat,86
stops,stop_lon,86
stops,zone_id,86
stops,stop_url,0
stops,location_type,0
stops,parent_station,0
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,5
routes,agency_id,5
routes,route_short_name,5
routes,route_long_name,5
routes,route_desc,0
routes,route_type,5
routes,route_url,0
routes,route_color,5
routes,route_text_color,0
trips,route_id,4909
trips,service_id,4909
trips,trip_id,4909
trips,trip_headsign,4909
trips,trip_short_name,0
trips,direction_id,4909
trips,block_id,0
trips,shape_id,4909
stop_times,trip_id,111446
stop_times,arrival_time,111446
stop_times,departure_time,111446
stop_times,stop_id,111446
stop_times,stop_sequence,111446
stop_times,stop_headsign,0
stop_times,pickup_type,0
stop_times,drop_off_type,0
stop_times,shape_dist_traveled,111446
calendar,service_id,0
calendar,monday,0
calendar,tuesday,0
calendar,wednesday,0
calendar,thursday,0
calendar,friday,0
calendar,saturday,0
calendar,sunday,0
calendar,start_date,0
calendar,end_date,0
calendar_dates,service_id,180
calendar_dates,date,180
calendar_dates,exception_type,180
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,2912
shapes,shape_pt_lat,2912
shapes,shape_pt_lon,2912
shapes,shape_pt_sequence,2912
shapes,shape_dist_traveled,2912
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
