route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
258,16,1,173,22,24720,99840,21,14.8,5.8,84,32.9,34.6,26.4,7174.4555591119333949679,Blue,Metrorail Blue Line
258,16,0,173,22,24720,99840,21,14.1,3.3,88,33.5,33.7,25.7,7210.8819040534315982242,Blue,Metrorail Blue Line
260,16,0,166,21,25200,99660,21,14.5,3.6,83,34.8,27.1,20.9,7188.6098288135593219338,Green,Metrorail Green Line
260,16,1,166,21,25200,99660,21,14.4,3.1,83,34.8,27.0,20.9,7189.7835138349514562406,Green,Metrorail Green Line
261,16,0,171,21,25200,99300,21,14.1,3.4,86,34.2,30.9,24.9,6811.2661311869293609821,Orange,Metrorail Orange Line
261,16,1,171,21,25200,99300,21,14.1,2.9,84,33.8,31.9,25.8,6788.2399209414024974601,Orange,Metrorail Orange Line
262,16,0,299,21,25200,99600,21,7.8,3.3,151,37.9,36.6,25.3,7972.3744947023484433298,Red,Metrorail Red Line
262,16,1,299,21,25200,99600,21,8.0,3.3,148,37.9,37.2,25.7,7960.8969014516570803228,Red,Metrorail Red Line
263,16,1,166,21,25200,99480,21,14.6,3.7,83,29.8,17.7,16.8,5905.7860170471841703420,Yellow,Metrorail Yellow Line
263,16,0,166,21,25200,99480,21,14.3,3.5,83,29.8,18.1,17.1,5925.9558685820895522486,Yellow,Metrorail Yellow Line
258,17,0,136,19,24720,89220,18,15.5,1.9,68,33.5,33.7,25.6,7214.2025047732696896067,Blue,Metrorail Blue Line
258,17,1,136,19,24720,89220,18,16.0,5.3,67,33.2,34.0,26.0,7187.8544169999999999035,Blue,Metrorail Blue Line
260,17,1,130,18,25200,88860,18,15.7,1.5,65,34.8,27.0,20.8,7189.9477369565217391447,Green,Metrorail Green Line
260,17,0,130,18,25200,88860,18,15.8,2.6,65,34.8,27.1,20.9,7188.4465105263157896291,Green,Metrorail Green Line
261,17,1,133,18,25200,88500,18,15.3,1.4,66,33.9,31.8,25.7,6789.4183333333333332304,Orange,Metrorail Orange Line
261,17,0,133,18,25200,88500,18,15.7,2.3,66,34.2,31.0,25.0,6817.9086023661270236294,Orange,Metrorail Orange Line
262,17,1,238,18,25200,88800,18,8.5,2.5,118,37.8,36.8,25.5,7949.2815540858725760455,Red,Metrorail Red Line
262,17,0,238,18,25200,88800,18,8.4,2.4,120,37.7,36.5,25.2,7950.2154789473684209155,Red,Metrorail Red Line
263,17,0,131,18,25200,88680,18,15.5,1.6,65,29.8,17.9,17.1,5895.4984771072796935859,Yellow,Metrorail Yellow Line
263,17,1,131,18,25200,88680,18,15.7,2.1,66,29.7,17.7,16.9,5890.5315985673352434825,Yellow,Metrorail Yellow Line
258,18,1,232,24,17640,99720,23,11.9,4.1,112,33.1,34.5,26.4,7161.9342165913043476977,Blue,Metrorail Blue Line
258,18,0,232,24,17640,99720,23,11.5,4.1,119,33.7,33.3,25.4,7215.3815282908339074941,Blue,Metrorail Blue Line
260,18,0,266,23,18000,99660,23,10.1,4.9,133,34.8,27.1,20.9,7188.8308435897435896847,Green,Metrorail Green Line
260,18,1,266,23,18000,99660,23,10.0,4.7,133,34.8,27.1,20.9,7189.5616279456193353058,Green,Metrorail Green Line
261,18,0,341,24,17640,99300,23,9.0,4.9,178,34.9,29.3,23.6,6840.9587758833703979624,Orange,Metrorail Orange Line
261,18,1,341,24,17640,99300,23,9.5,4.9,162,33.5,31.4,25.6,6731.2023547141424271252,Orange,Metrorail Orange Line
262,18,0,490,23,18000,100200,23,5.3,3.7,250,36.3,34.1,24.0,7823.0256362212943632561,Red,Metrorail Red Line
262,18,1,490,23,18000,100200,23,5.5,4.2,239,36.1,35.1,24.7,7801.4178712405685208804,Red,Metrorail Red Line
263,18,1,301,24,17880,99480,23,9.7,5.2,151,30.9,18.0,15.5,6557.7937129519450801073,Yellow,Metrorail Yellow Line
263,18,0,301,24,17880,99480,23,9.6,5.3,150,30.9,18.1,15.5,6561.0875752520623280894,Yellow,Metrorail Yellow Line
258,19,1,214,21,17640,88920,20,11.1,3.4,103,33.1,34.4,26.4,7161.0937042786823173448,Blue,Metrorail Blue Line
258,19,0,214,21,17640,88920,20,10.8,3.4,110,33.6,33.2,25.3,7219.2371796851574213474,Blue,Metrorail Blue Line
260,19,0,248,20,18000,88860,20,9.4,4.3,124,34.8,27.1,20.9,7188.8042574433656958396,Green,Metrorail Green Line
260,19,1,248,20,18000,88860,20,9.3,4.0,124,34.8,27.1,20.9,7189.5882974068071314011,Green,Metrorail Green Line
261,19,0,323,21,17640,88500,20,8.3,4.1,169,34.9,29.1,23.5,6844.3139111198325485597,Orange,Metrorail Orange Line
261,19,1,323,21,17640,88500,20,8.7,4.2,153,33.5,31.3,25.6,6728.0474602444857827472,Orange,Metrorail Orange Line
262,19,0,466,20,18000,88800,20,4.8,3.1,238,36.2,33.8,23.8,7807.2086689845474614983,Red,Metrorail Red Line
262,19,1,466,20,18000,88800,20,5.0,3.3,227,35.9,34.8,24.6,7784.2055718953035085579,Red,Metrorail Red Line
263,19,1,285,21,17880,88680,20,8.8,4.3,143,30.9,18.0,15.4,6600.4232694214876033589,Yellow,Metrorail Yellow Line
263,19,0,285,21,17880,88680,20,8.7,4.2,142,30.9,18.1,15.5,6603.9846599805258034646,Yellow,Metrorail Yellow Line
