stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10142,16,0,1,82,SUITLAND METRO STATION,38.843839,-76.93161
10142,16,1,1,83,SUITLAND METRO STATION,38.843839,-76.93161
10344,16,0,2,166,MT VERNON SQ/7TH ST-CONVENTION CENTER,38.905638,-77.021905
10344,16,1,2,163,MT VERNON SQ/7TH ST-CONVENTION CENTER,38.905638,-77.021905
10352,16,0,1,88,VAN DORN METRO STATION,38.799263,-77.129111
10352,16,1,1,83,VAN DORN METRO STATION,38.799263,-77.129111
10776,16,0,1,83,HUNTINGTON AV METRO STATION,38.793895,-77.074955
10776,16,1,1,83,HUNTINGTON AV METRO STATION,38.793895,-77.074955
11332,16,0,2,167,ROSSLYN METRO STATION,38.895493,-77.071954
11332,16,1,2,166,ROSSLYN METRO STATION,38.895493,-77.071954
11602,16,0,1,86,DUNN LORING MERRIFIELD METRO STATION,38.883146,-77.228654
11602,16,1,1,83,DUNN LORING MERRIFIELD METRO STATION,38.883146,-77.228654
11610,16,0,1,86,VIENNA METRO STATION,38.877881,-77.271363
11610,16,1,1,83,VIENNA METRO STATION,38.877881,-77.271363
11731,16,0,2,86,GREENBELT METRO STATION,39.011067,-76.911011
11731,16,1,2,84,GREENBELT METRO STATION,39.011067,-76.911011
11733,16,0,2,86,COLLEGE PARK/U OF MD METRO STATION,38.9784,-76.928197
11733,16,1,2,84,COLLEGE PARK/U OF MD METRO STATION,38.9784,-76.928197
11886,16,0,2,86,WEST HYATTSVILLE METRO STATION,38.955028,-76.969522
11886,16,1,2,84,WEST HYATTSVILLE METRO STATION,38.955028,-76.969522
12282,16,0,1,83,EAST FALLS CHURCH METRO STATION,38.886042,-77.156567
12282,16,1,1,83,EAST FALLS CHURCH METRO STATION,38.886042,-77.156567
12488,16,0,1,83,COURTHOUSE METRO STATION,38.891331,-77.084823
12488,16,1,1,83,COURTHOUSE METRO STATION,38.891331,-77.084823
12631,16,0,1,83,BALLSTON METRO,38.882238,-77.11155
12631,16,1,1,83,BALLSTON METRO,38.882238,-77.11155
12648,16,0,1,83,CLARENDON METRORAIL STATION,38.887176,-77.094987
12648,16,1,1,83,CLARENDON METRORAIL STATION,38.887176,-77.094987
12872,16,0,1,147,UNION STATION METRO STATION,38.89777,-77.006402
12872,16,1,1,147,UNION STATION METRO STATION,38.89777,-77.006402
12874,16,0,1,147,JUDICIARY SQUARE METRO STATION,38.896121,-77.016312
12874,16,1,1,147,JUDICIARY SQUARE METRO STATION,38.896121,-77.016312
12900,16,0,2,166,CAPITOL SOUTH METRO STATION,38.885669,-77.005892
12900,16,1,2,166,CAPITOL SOUTH METRO STATION,38.885669,-77.005892
12906,16,0,2,166,SMITHSONIAN METRO STATION,38.887587,-77.028174
12906,16,1,2,166,SMITHSONIAN METRO STATION,38.887587,-77.028174
12922,16,0,1,83,VIRGINIA SQUARE METRO STATION,38.883074,-77.103809
12922,16,1,1,83,VIRGINIA SQUARE METRO STATION,38.883074,-77.103809
12926,16,0,1,84,ARLINGTON CEMETERY METRO STATION,38.884612,-77.062795
12926,16,1,1,83,ARLINGTON CEMETERY METRO STATION,38.884612,-77.062795
12928,16,0,2,167,PENTAGON METRO STATION,38.869474,-77.053777
12928,16,1,2,165,PENTAGON METRO STATION,38.869474,-77.053777
12930,16,0,2,167,PENTAGON CITY METRO STATION,38.862961,-77.059142
12930,16,1,2,165,PENTAGON CITY METRO STATION,38.862961,-77.059142
1305,16,0,1,83,CAPITOL HEIGHTS METRO STATION,38.889571,-76.913313
1305,16,1,1,84,CAPITOL HEIGHTS METRO STATION,38.889571,-76.913313
13107,16,0,1,83,ADDISON ROAD METRO STATION,38.886702,-76.89329
13107,16,1,1,84,ADDISON ROAD METRO STATION,38.886702,-76.89329
13986,16,0,2,167,BRADDOCK RD METRORAIL STATION,38.814052,-77.053434
13986,16,1,2,166,BRADDOCK RD METRORAIL STATION,38.814052,-77.053434
13995,16,0,2,167,KING STREET METRO STATION,38.806506,-77.060796
13995,16,1,2,166,KING STREET METRO STATION,38.806506,-77.060796
14118,16,0,1,86,WEST FALLS CHURCH METRO,38.900738,-77.188871
14118,16,1,1,83,WEST FALLS CHURCH METRO,38.900738,-77.188871
1418,16,0,2,166,U STREET METRO STATION,38.917015,-77.029169
1418,16,1,2,163,U STREET METRO STATION,38.917015,-77.029169
14816,16,0,1,88,FRANCONIA SPRINGFIELD METRO,38.766196,-77.168487
14816,16,1,1,83,FRANCONIA SPRINGFIELD METRO,38.766196,-77.168487
16051,16,0,1,93,GLENMONT METRO STATION,39.061743,-77.053097
16051,16,1,1,90,GLENMONT METRO STATION,39.061743,-77.053097
20078,16,0,1,151,SILVER SPRING METRO STATION,38.993658,-77.032307
20078,16,1,1,147,SILVER SPRING METRO STATION,38.993658,-77.032307
21029,16,0,1,93,FOREST GLEN METRO STATION,39.015465,-77.042667
21029,16,1,1,90,FOREST GLEN METRO STATION,39.015465,-77.042667
21110,16,0,1,82,BRANCH AVE METRO STATION,38.827022,-76.911802
21110,16,1,1,83,BRANCH AVE METRO STATION,38.827022,-76.911802
2124,16,0,1,83,LANDOVER METRO STATION,38.933994,-76.890005
2124,16,1,1,84,LANDOVER METRO STATION,38.933994,-76.890005
22094,16,0,1,146,WHITE FLINT METRO STATION,39.047162,-77.112782
22094,16,1,1,147,WHITE FLINT METRO STATION,39.047162,-77.112782
25426,16,0,1,83,MINNESOTA AVE METRO STATION,38.898313,-76.947716
25426,16,1,1,84,MINNESOTA AVE METRO STATION,38.898313,-76.947716
25552,16,0,2,166,COLUMBIA HEIGHTS METRO STATION,38.928711,-77.032454
25552,16,1,2,163,COLUMBIA HEIGHTS METRO STATION,38.928711,-77.032454
25553,16,0,2,166,GEORGIA AVE PETWORTH STATION,38.936255,-77.024252
25553,16,1,2,163,GEORGIA AVE PETWORTH STATION,38.936255,-77.024252
2640,16,0,1,146,MEDICAL CENTER METRO/NAVAL MED CTR & NIH,39.000062,-77.096948
2640,16,1,1,147,MEDICAL CENTER METRO/NAVAL MED CTR & NIH,39.000062,-77.096948
2658,16,0,1,83,NEW CARROLLTON METRO STATION,38.946912,-76.870445
2658,16,1,1,84,NEW CARROLLTON METRO STATION,38.946912,-76.870445
3034,16,0,2,86,PRINCE GEORGES PLAZA METRO STATION,38.965252,-76.955988
3034,16,1,2,84,PRINCE GEORGES PLAZA METRO STATION,38.965252,-76.955988
308,16,0,2,166,SHAW METRO STATION,38.914546,-77.021927
308,16,1,2,163,SHAW METRO STATION,38.914546,-77.021927
3542,16,0,1,146,GROSVENOR METRO STATION,39.029243,-77.103838
3542,16,1,1,147,GROSVENOR METRO STATION,39.029243,-77.103838
3969,16,0,1,146,TWINBROOK METRO STATION,39.062389,-77.120792
3969,16,1,1,147,TWINBROOK METRO STATION,39.062389,-77.120792
4271,16,0,1,93,WHEATON METRO STATION,39.038565,-77.050776
4271,16,1,1,90,WHEATON METRO STATION,39.038565,-77.050776
4364,16,0,1,146,FRIENDSHIP HEIGHTS METRO STATION,38.960997,-77.085767
4364,16,1,1,147,FRIENDSHIP HEIGHTS METRO STATION,38.960997,-77.085767
4387,16,0,1,146,BETHESDA METRO STATION,38.984431,-77.094151
4387,16,1,1,147,BETHESDA METRO STATION,38.984431,-77.094151
4567,16,0,1,147,NOMA-GALLAUDET U (NEW YORK AVE) METRO STATION,38.907413,-77.002981
4567,16,1,1,147,NOMA-GALLAUDET U (NEW YORK AVE) METRO STATION,38.907413,-77.002981
4613,16,0,1,83,BENNING RD METRO STATION,38.890418,-76.937662
4613,16,1,1,84,BENNING RD METRO STATION,38.890418,-76.937662
4655,16,0,1,82,CONGRESS HEIGHTS METRO STATION,38.845379,-76.98786
4655,16,1,1,83,CONGRESS HEIGHTS METRO STATION,38.845379,-76.98786
4664,16,0,1,83,MORGAN BOULEVARD METRO STATION,38.893586,-76.868498
4664,16,1,1,84,MORGAN BOULEVARD METRO STATION,38.893586,-76.868498
4697,16,0,1,83,LARGO TOWN CENTER METRO STATION,38.900269,-76.84454
4697,16,1,1,84,LARGO TOWN CENTER METRO STATION,38.900269,-76.84454
4710,16,0,1,151,BROOKLAND-CUA METRO,38.933232,-76.994474
4710,16,1,1,147,BROOKLAND-CUA METRO,38.933232,-76.994474
4905,16,0,1,146,WOODLEY PARK-ZOO METRO STATION,38.925,-77.05235
4905,16,1,1,147,WOODLEY PARK-ZOO METRO STATION,38.925,-77.05235
4912,16,0,1,146,CLEVELAND PARK METRO STATION,38.935852,-77.058624
4912,16,1,1,147,CLEVELAND PARK METRO STATION,38.935852,-77.058624
4941,16,0,1,146,VAN NESS-UDC METRO STATION,38.944519,-77.063716
4941,16,1,1,147,VAN NESS-UDC METRO STATION,38.944519,-77.063716
4956,16,0,1,146,DUPONT CIRCLE METRO STATION,38.911129,-77.044428
4956,16,1,1,147,DUPONT CIRCLE METRO STATION,38.911129,-77.044428
5017,16,0,4,332,L'ENFANT PLAZA METRO STATION,38.884886,-77.0216
5017,16,1,4,330,L'ENFANT PLAZA METRO STATION,38.884886,-77.0216
5030,16,0,1,83,DEANWOOD METRO STATION,38.907945,-76.935569
5030,16,1,1,84,DEANWOOD METRO STATION,38.907945,-76.935569
5110,16,0,2,166,STADIUM ARMORY METRO STATION,38.885982,-76.977168
5110,16,1,2,167,STADIUM ARMORY METRO STATION,38.885982,-76.977168
5305,16,0,3,317,FORT TOTTEN METRO STATION,38.951808,-77.001864
5305,16,1,3,310,FORT TOTTEN METRO STATION,38.951808,-77.001864
5635,16,0,1,146,FARRAGUT NORTH METRO STATION,38.903297,-77.039502
5635,16,1,1,147,FARRAGUT NORTH METRO STATION,38.903297,-77.039502
5660,16,0,1,146,TENLEYTOWN METRO STATION,38.947849,-77.079299
5660,16,1,1,147,TENLEYTOWN METRO STATION,38.947849,-77.079299
5759,16,0,1,82,NAVY YARD METRO STATION,38.876517,-77.004749
5759,16,1,1,83,NAVY YARD METRO STATION,38.876517,-77.004749
6479,16,0,2,166,EASTERN MARKET METRO STATION,38.884148,-76.99501
6479,16,1,2,167,EASTERN MARKET METRO STATION,38.884148,-76.99501
6553,16,0,2,166,POTOMAC AVE METRO,38.880874,-76.985397
6553,16,1,2,167,POTOMAC AVE METRO,38.880874,-76.985397
6671,16,0,1,151,RHODE ISLAND METRO STATION,38.920778,-76.995682
6671,16,1,1,147,RHODE ISLAND METRO STATION,38.920778,-76.995682
6751,16,0,1,82,ANACOSTIA METRO STATION,38.862117,-76.995325
6751,16,1,1,83,ANACOSTIA METRO STATION,38.862117,-76.995325
6963,16,0,1,151,TAKOMA METRO STATION,38.975432,-77.017421
6963,16,1,1,147,TAKOMA METRO STATION,38.975432,-77.017421
7333,16,0,2,166,FEDERAL CENTER METRO STATION,38.884981,-77.015536
7333,16,1,2,166,FEDERAL CENTER METRO STATION,38.884981,-77.015536
7376,16,0,1,82,WATERFRONT METRO STATION,38.876478,-77.017189
7376,16,1,1,83,WATERFRONT METRO STATION,38.876478,-77.017189
7474,16,0,3,313,GALLERY PLACE CHINATOWN METRO STATION,38.898354,-77.021527
7474,16,1,3,310,GALLERY PLACE CHINATOWN METRO STATION,38.898354,-77.021527
7477,16,0,2,166,ARCHIVES METRO STATION,38.893907,-77.021592
7477,16,1,2,163,ARCHIVES METRO STATION,38.893907,-77.021592
7588,16,0,3,314,METRO CENTER METRO STATION,38.898327,-77.027777
7588,16,1,3,315,METRO CENTER METRO STATION,38.898327,-77.027777
7671,16,0,2,166,FEDERAL TRIANGLE METRO STATION,38.893789,-77.027896
7671,16,1,2,166,FEDERAL TRIANGLE METRO STATION,38.893789,-77.027896
7681,16,0,1,82,SOUTHERN AVE METRO STATION,38.841047,-76.975003
7681,16,1,1,83,SOUTHERN AVE METRO STATION,38.841047,-76.975003
7686,16,0,1,82,NAYLOR ROAD METRO STATION,38.851164,-76.956314
7686,16,1,1,83,NAYLOR ROAD METRO STATION,38.851164,-76.956314
7812,16,0,2,166,MCPHERSON SQ METRO STATION,38.901335,-77.031958
7812,16,1,2,166,MCPHERSON SQ METRO STATION,38.901335,-77.031958
7932,16,0,2,166,FARRAGUT WEST METRO STATION,38.901366,-77.039482
7932,16,1,2,166,FARRAGUT WEST METRO STATION,38.901366,-77.039482
7993,16,0,1,146,ROCKVILLE METRO STATION,39.085452,-77.146689
7993,16,1,1,147,ROCKVILLE METRO STATION,39.085452,-77.146689
